wavelength_nm,sensitivity
2.000000000000000000e+02,5.876169246931712154e-04
2.010000000000000000e+02,6.347102866420383654e-04
2.020000000000000000e+02,6.852413409433866492e-04
2.030000000000000000e+02,7.394321920208761327e-04
2.040000000000000000e+02,7.975169656301685575e-04
2.050000000000000000e+02,8.597422818300575918e-04
2.060000000000000000e+02,9.263677333758811713e-04
2.070000000000000000e+02,9.976663684981440256e-04
2.080000000000000000e+02,1.073925176932535993e-03
2.090000000000000000e+02,1.155445577967794887e-03
2.100000000000000000e+02,1.242543909175469535e-03
2.110000000000000000e+02,1.335551914380798434e-03
2.120000000000000000e+02,1.434817229326964660e-03
2.130000000000000000e+02,1.540703863376219731e-03
2.140000000000000000e+02,1.653592675481054073e-03
2.150000000000000000e+02,1.773881842547438657e-03
2.160000000000000000e+02,1.901987318200157144e-03
2.170000000000000000e+02,2.038343279848201656e-03
2.180000000000000000e+02,2.183402561836561302e-03
2.190000000000000000e+02,2.337637072359816538e-03
2.200000000000000000e+02,2.501538191703644477e-03
2.210000000000000000e+02,2.675617149272978019e-03
2.220000000000000000e+02,2.860405376761002063e-03
2.230000000000000000e+02,3.056454834711926864e-03
2.240000000000000000e+02,3.264338309633190490e-03
2.250000000000000000e+02,3.484649678720590834e-03
2.260000000000000000e+02,3.718004139172777049e-03
2.270000000000000000e+02,3.965038398991301526e-03
2.280000000000000000e+02,4.226410826088751113e-03
2.290000000000000000e+02,4.502801552462491405e-03
2.300000000000000000e+02,4.794912530134590872e-03
2.310000000000000000e+02,5.103467535511627649e-03
2.320000000000000000e+02,5.429212118781694650e-03
2.330000000000000000e+02,5.772913494940605170e-03
2.340000000000000000e+02,6.135360373026411268e-03
2.350000000000000000e+02,6.517362720141382793e-03
2.360000000000000000e+02,6.919751456854699931e-03
2.370000000000000000e+02,7.343378080607505277e-03
2.380000000000000000e+02,7.789114213786431894e-03
2.390000000000000000e+02,8.257851073191860639e-03
2.400000000000000000e+02,8.750498857704801930e-03
2.410000000000000000e+02,9.267986051051320048e-03
2.420000000000000000e+02,9.811258636676865527e-03
2.430000000000000000e+02,1.038127922187539846e-02
2.440000000000000000e+02,1.097902606846988018e-02
2.450000000000000000e+02,1.160549202751282385e-02
2.460000000000000000e+02,1.226168337566741276e-02
2.470000000000000000e+02,1.294861855114274804e-02
2.480000000000000000e+02,1.366732678729054747e-02
2.490000000000000000e+02,1.441884664222501007e-02
2.500000000000000000e+02,1.520422442310383551e-02
2.510000000000000000e+02,1.602451250400469332e-02
2.520000000000000000e+02,1.688076753664946930e-02
2.530000000000000000e+02,1.777404855356659943e-02
2.540000000000000000e+02,1.870541496364001854e-02
2.550000000000000000e+02,1.967592444037154914e-02
2.560000000000000000e+02,2.068663070357986550e-02
2.570000000000000000e+02,2.173858119567477487e-02
2.580000000000000000e+02,2.283281465407757324e-02
2.590000000000000000e+02,2.397035858180646475e-02
2.600000000000000000e+02,2.515222661871037782e-02
2.610000000000000000e+02,2.637941581631041837e-02
2.620000000000000000e+02,2.765290381969894018e-02
2.630000000000000000e+02,2.897364596044517751e-02
2.640000000000000000e+02,3.034257226496564833e-02
2.650000000000000000e+02,3.176058438333393547e-02
2.660000000000000000e+02,3.322855244402442981e-02
2.670000000000000000e+02,3.474731184060962652e-02
2.680000000000000000e+02,3.631765995695446919e-02
2.690000000000000000e+02,3.794035283797431157e-02
2.700000000000000000e+02,3.961610181354291438e-02
2.710000000000000000e+02,4.134557008364806580e-02
2.720000000000000000e+02,4.312936927339674348e-02
2.730000000000000000e+02,4.496805596696260704e-02
2.740000000000000000e+02,4.686212823004599209e-02
2.750000000000000000e+02,4.881202213087558472e-02
2.760000000000000000e+02,5.081810827022055499e-02
2.770000000000000000e+02,5.288068833129901808e-02
2.780000000000000000e+02,5.499999166085747099e-02
2.790000000000000000e+02,5.717617189306029024e-02
2.800000000000000000e+02,5.940930362815605853e-02
2.810000000000000000e+02,6.169937917818582584e-02
2.820000000000000000e+02,6.404630539225687758e-02
2.830000000000000000e+02,6.644990057412437923e-02
2.840000000000000000e+02,6.890989150500323457e-02
2.850000000000000000e+02,7.142591058466238318e-02
2.860000000000000000e+02,7.399749310394312940e-02
2.870000000000000000e+02,7.662407466187864946e-02
2.880000000000000000e+02,7.930498874057857750e-02
2.890000000000000000e+02,8.203946445097681783e-02
2.900000000000000000e+02,8.482662446241955034e-02
2.910000000000000000e+02,8.766548312889507755e-02
