wavelength_nm,sensitivity
2.000000000000000000e+02,4.064369258550643103e-04
2.010000000000000000e+02,4.430383350471032706e-04
2.020000000000000000e+02,4.826561582192578806e-04
2.030000000000000000e+02,5.255121899533747587e-04
2.040000000000000000e+02,5.718421123565742715e-04
2.050000000000000000e+02,6.218961581399371635e-04
2.060000000000000000e+02,6.759397883921514430e-04
2.070000000000000000e+02,7.342543838872674002e-04
2.080000000000000000e+02,7.971379486066742853e-04
2.090000000000000000e+02,8.649058239887461724e-04
2.100000000000000000e+02,9.378914122458310550e-04
2.110000000000000000e+02,1.016446906907306257e-03
2.120000000000000000e+02,1.100944028560060534e-03
2.130000000000000000e+02,1.191774763564187618e-03
2.140000000000000000e+02,1.289352103322522966e-03
2.150000000000000000e+02,1.394110781478545341e-03
2.160000000000000000e+02,1.506508006208723575e-03
2.170000000000000000e+02,1.627024184563492012e-03
2.180000000000000000e+02,1.756163635596443787e-03
2.190000000000000000e+02,1.894455288805026952e-03
2.200000000000000000e+02,2.042453364189160663e-03
2.210000000000000000e+02,2.200738030017617558e-03
2.220000000000000000e+02,2.369916034177256634e-03
2.230000000000000000e+02,2.550621304768320267e-03
2.240000000000000000e+02,2.743515515401496845e-03
2.250000000000000000e+02,2.949288610450793210e-03
2.260000000000000000e+02,3.168659285321840692e-03
2.270000000000000000e+02,3.402375416609965727e-03
2.280000000000000000e+02,3.651214436847603946e-03
2.290000000000000000e+02,3.915983648378215318e-03
2.300000000000000000e+02,4.197520470745955828e-03
2.310000000000000000e+02,4.496692615858059912e-03
2.320000000000000000e+02,4.814398185062969404e-03
2.330000000000000000e+02,5.151565682192977766e-03
2.340000000000000000e+02,5.509153936547744879e-03
2.350000000000000000e+02,5.888151929746501465e-03
2.360000000000000000e+02,6.289578520353919337e-03
2.370000000000000000e+02,6.714482060189402857e-03
2.380000000000000000e+02,7.163939896264090099e-03
2.390000000000000000e+02,7.639057752355628630e-03
2.400000000000000000e+02,8.140968984330013494e-03
2.410000000000000000e+02,8.670833703453933311e-03
2.420000000000000000e+02,9.229837762111642308e-03
2.430000000000000000e+02,9.819191596549608006e-03
2.440000000000000000e+02,1.044012892152033217e-02
2.450000000000000000e+02,1.109390527198621940e-02
2.460000000000000000e+02,1.178179638737546220e-02
2.470000000000000000e+02,1.250509643425588673e-02
2.480000000000000000e+02,1.326511606371032909e-02
2.490000000000000000e+02,1.406318030015865292e-02
2.500000000000000000e+02,1.490062625887738322e-02
2.510000000000000000e+02,1.577880069001824995e-02
2.520000000000000000e+02,1.669905734752117482e-02
2.530000000000000000e+02,1.766275418195547425e-02
2.540000000000000000e+02,1.867125035700344104e-02
2.550000000000000000e+02,1.972590309002322101e-02
2.560000000000000000e+02,2.082806431789059956e-02
2.570000000000000000e+02,2.197907719012028027e-02
2.580000000000000000e+02,2.318027239210563792e-02
2.590000000000000000e+02,2.443296430218704768e-02
2.600000000000000000e+02,2.573844698716252696e-02
2.610000000000000000e+02,2.709799004178567797e-02
2.620000000000000000e+02,2.851283427875211940e-02
2.630000000000000000e+02,2.998418727665313685e-02
2.640000000000000000e+02,3.151321879436939227e-02
2.650000000000000000e+02,3.310105606138462331e-02
2.660000000000000000e+02,3.474877895451443377e-02
2.670000000000000000e+02,3.645741507256217151e-02
2.680000000000000000e+02,3.822793472143093396e-02
2.690000000000000000e+02,4.006124582322653088e-02
2.700000000000000000e+02,4.195818876388186791e-02
2.710000000000000000e+02,4.391953119480655754e-02
2.720000000000000000e+02,4.594596280501454105e-02
2.730000000000000000e+02,4.803809008109993089e-02
2.740000000000000000e+02,5.019643107330855336e-02
2.750000000000000000e+02,5.242141018678726783e-02
2.760000000000000000e+02,5.471335301787476346e-02
2.770000000000000000e+02,5.707248125602204514e-02
2.780000000000000000e+02,5.949890767259152780e-02
2.790000000000000000e+02,6.199263121837234047e-02
2.800000000000000000e+02,6.455353225216307889e-02
2.810000000000000000e+02,6.718136792320243689e-02
2.820000000000000000e+02,6.987576773056980439e-02
2.830000000000000000e+02,7.263622928292462477e-02
2.840000000000000000e+02,7.546211428210146399e-02
2.850000000000000000e+02,7.835264475412036245e-02
2.860000000000000000e+02,8.130689955110785572e-02
2.870000000000000000e+02,8.432381114744506856e-02
2.880000000000000000e+02,8.740216275316713135e-02
2.890000000000000000e+02,9.054058576722377738e-02
2.900000000000000000e+02,9.373755759267876631e-02
2.910000000000000000e+02,9.699139983526797182e-02
2.920000000000000000e+02,1.003002769059561927e-01
2.930000000000000000e+02,1.036621950472279979e-01
2.940000000000000000e+02,1.070750018018193084e-01
2.950000000000000000e+02,1.105363859414459776e-01
