wavelength_nm,sensitivity
2.000000000000000000e+02,4.257143374379484570e-04
2.010000000000000000e+02,4.635160723227854814e-04
2.020000000000000000e+02,5.043878903632843151e-04
2.030000000000000000e+02,5.485520437058433087e-04
2.040000000000000000e+02,5.962444598668101108e-04
2.050000000000000000e+02,6.477153800424114826e-04
2.060000000000000000e+02,7.032300107280284925e-04
2.070000000000000000e+02,7.630691874899706061e-04
2.080000000000000000e+02,8.275300495824286983e-04
2.090000000000000000e+02,8.969267239450480446e-04
2.100000000000000000e+02,9.715910169528190875e-04
2.110000000000000000e+02,1.051873112119986733e-03
2.120000000000000000e+02,1.138142271783835644e-03
2.130000000000000000e+02,1.230787540613034704e-03
2.140000000000000000e+02,1.330218448599100340e-03
2.150000000000000000e+02,1.436865710999166938e-03
2.160000000000000000e+02,1.551181922504185021e-03
2.170000000000000000e+02,1.673642242709849756e-03
2.180000000000000000e+02,1.804745069768451610e-03
2.190000000000000000e+02,1.945012698899676500e-03
2.200000000000000000e+02,2.094991962238014135e-03
2.210000000000000000e+02,2.255254846294715669e-03
2.220000000000000000e+02,2.426399083114726130e-03
2.230000000000000000e+02,2.609048711014329541e-03
2.240000000000000000e+02,2.803854600595333604e-03
2.250000000000000000e+02,3.011494941547243794e-03
2.260000000000000000e+02,3.232675685571651924e-03
2.270000000000000000e+02,3.468130940594853998e-03
2.280000000000000000e+02,3.718623311276280687e-03
2.290000000000000000e+02,3.984944180674076207e-03
2.300000000000000000e+02,4.267913927796107218e-03
2.310000000000000000e+02,4.568382075647099000e-03
2.320000000000000000e+02,4.887227364281613619e-03
2.330000000000000000e+02,5.225357743290303357e-03
2.340000000000000000e+02,5.583710278085247079e-03
2.350000000000000000e+02,5.963250964310401296e-03
2.360000000000000000e+02,6.364974444687455934e-03
2.370000000000000000e+02,6.789903622617639647e-03
2.380000000000000000e+02,7.239089166897137370e-03
2.390000000000000000e+02,7.713608901970580092e-03
2.400000000000000000e+02,8.214567078244208731e-03
2.410000000000000000e+02,8.743093517109759918e-03
2.420000000000000000e+02,9.300342625493647833e-03
2.430000000000000000e+02,9.887492274944046158e-03
2.440000000000000000e+02,1.050574254050353276e-02
2.450000000000000000e+02,1.115631429488694870e-02
2.460000000000000000e+02,1.184044765379478441e-02
2.470000000000000000e+02,1.255940026854261878e-02
2.480000000000000000e+02,1.331444546257630653e-02
2.490000000000000000e+02,1.410687020887353531e-02
2.500000000000000000e+02,1.493797294570222214e-02
2.510000000000000000e+02,1.580906122871821029e-02
2.520000000000000000e+02,1.672144921793558558e-02
2.530000000000000000e+02,1.767645499869484674e-02
2.540000000000000000e+02,1.867539773638458162e-02
2.550000000000000000e+02,1.971959466534049799e-02
2.560000000000000000e+02,2.081035791305183014e-02
2.570000000000000000e+02,2.194899116154492777e-02
2.580000000000000000e+02,2.313678614858862698e-02
2.590000000000000000e+02,2.437501901217046726e-02
2.600000000000000000e+02,2.566494648252718239e-02
2.610000000000000000e+02,2.700780192687242398e-02
2.620000000000000000e+02,2.840479125284707529e-02
2.630000000000000000e+02,2.985708867762024848e-02
2.640000000000000000e+02,3.136583237048558293e-02
2.650000000000000000e+02,3.293211997772875488e-02
2.660000000000000000e+02,3.455700403947727095e-02
2.670000000000000000e+02,3.624148730918565209e-02
2.680000000000000000e+02,3.798651798734645202e-02
2.690000000000000000e+02,3.979298488194946831e-02
2.700000000000000000e+02,4.166171250913241336e-02
2.710000000000000000e+02,4.359345614836739047e-02
2.720000000000000000e+02,4.558889686740937031e-02
2.730000000000000000e+02,4.764863653308269026e-02
2.740000000000000000e+02,4.977319282480002771e-02
2.750000000000000000e+02,5.196299426848527414e-02
2.760000000000000000e+02,5.421837530930243010e-02
2.770000000000000000e+02,5.653957144227345771e-02
2.780000000000000000e+02,5.892671442048814934e-02
2.790000000000000000e+02,6.137982756116947686e-02
2.800000000000000000e+02,6.389882117034501041e-02
2.810000000000000000e+02,6.648348810729158564e-02
2.820000000000000000e+02,6.913349951025413165e-02
2.830000000000000000e+02,7.184840070518948296e-02
2.840000000000000000e+02,7.462760731944705073e-02
2.850000000000000000e+02,7.747040162236160099e-02
2.860000000000000000e+02,8.037592911470513302e-02
2.870000000000000000e+02,8.334319538880542722e-02
2.880000000000000000e+02,8.637106328090309038e-02
2.890000000000000000e+02,8.945825033696970519e-02
2.900000000000000000e+02,9.260332661275084976e-02
2.910000000000000000e+02,9.580471282823024848e-02
2.920000000000000000e+02,9.906067889602560017e-02
2.930000000000000000e+02,1.023693428424330837e-01
2.940000000000000000e+02,1.057286701389252015e-01
2.950000000000000000e+02,1.091364734608861048e-01
2.960000000000000000e+02,1.125904128892343953e-01
2.970000000000000000e+02,1.160879965693409205e-01
2.980000000000000000e+02,1.196265818403011577e-01
2.990000000000000000e+02,1.232033768461709838e-01
3.000000000000000000e+02,1.268154426392251177e-01
3.010000000000000000e+02,1.304596957836562932e-01
3.020000000000000000e+02,1.341329114664027988e-01
3.030000000000000000e+02,1.378317271199817895e-01
3.040000000000000000e+02,1.415526465603202944e-01
3.050000000000000000e+02,1.452920446406253674e-01
3.060000000000000000e+02,1.490461724203241134e-01
3.070000000000000000e+02,1.528111628460455118e-01
3.080000000000000000e+02,1.565830369395171950e-01
3.090000000000000000e+02,1.603577104851193480e-01
3.100000000000000000e+02,1.641310012076892810e-01
3.110000000000000000e+02,1.678986364290104838e-01
3.120000000000000000e+02,1.716562611892616386e-01
3.130000000000000000e+02,1.753994468175558152e-01
3.140000000000000000e+02,1.791236999335790170e-01
3.150000000000000000e+02,1.828244718602501651e-01
3.160000000000000000e+02,1.864971684252875461e-01
3.170000000000000000e+02,1.901371601275822776e-01
3.180000000000000000e+02,1.937397926423735650e-01
3.190000000000000000e+02,1.973003976373869650e-01
3.200000000000000000e+02,2.008143038703608663e-01
3.210000000000000000e+02,2.042768485367526532e-01
3.220000000000000000e+02,2.076833888348931789e-01
3.230000000000000000e+02,2.110293137144612363e-01
3.240000000000000000e+02,2.143100557728820910e-01
3.250000000000000000e+02,2.175211032631311214e-01
3.260000000000000000e+02,2.206580121754460055e-01
3.270000000000000000e+02,2.237164183546311580e-01
3.280000000000000000e+02,2.266920496139826768e-01
3.290000000000000000e+02,2.295807378063722537e-01
3.300000000000000000e+02,2.323784308127129494e-01
3.310000000000000000e+02,2.350812044078927077e-01
3.320000000000000000e+02,2.376852739643011692e-01
3.330000000000000000e+02,2.401870059532999202e-01
3.340000000000000000e+02,2.425829292053894026e-01
3.350000000000000000e+02,2.448697458904156021e-01
3.360000000000000000e+02,2.470443421799245198e-01
3.370000000000000000e+02,2.491037985547211731e-01
3.380000000000000000e+02,2.510453997218085598e-01
3.390000000000000000e+02,2.528666441061736547e-01
3.400000000000000000e+02,2.545652528843425078e-01
3.410000000000000000e+02,2.561391785282403077e-01
3.420000000000000000e+02,2.575866128296528390e-01
3.430000000000000000e+02,2.589059943774941752e-01
3.440000000000000000e+02,2.600960154621189679e-01
3.450000000000000000e+02,2.611556283830775427e-01
3.460000000000000000e+02,2.620840511389812000e-01
3.470000000000000000e+02,2.628807724805112267e-01
3.480000000000000000e+02,2.635455563100604359e-01
3.490000000000000000e+02,2.640784454140217563e-01
3.500000000000000000e+02,2.644797645163246003e-01
3.510000000000000000e+02,2.647501226444509692e-01
3.520000000000000000e+02,2.648904148018238480e-01
3.530000000000000000e+02,2.649018229431423510e-01
3.540000000000000000e+02,2.647858162519125536e-01
3.550000000000000000e+02,2.645441507220926969e-01
3.560000000000000000e+02,2.641788680484074558e-01
3.570000000000000000e+02,2.636922938324800514e-01
3.580000000000000000e+02,2.630870351144689034e-01
3.590000000000000000e+02,2.623659772423584946e-01
3.600000000000000000e+02,2.615322800934338776e-01
3.610000000000000000e+02,2.605893736647498238e-01
3.620000000000000000e+02,2.595409530515702112e-01
3.630000000000000000e+02,2.583909728348001145e-01
3.640000000000000000e+02,2.571436409003418078e-01
3.650000000000000000e+02,2.558034117150665421e-01
3.660000000000000000e+02,2.543749790857047777e-01
3.670000000000000000e+02,2.528632684283980137e-01
3.680000000000000000e+02,2.512734285779282817e-01
3.690000000000000000e+02,2.496108231667340249e-01
3.700000000000000000e+02,2.478810216047292458e-01
3.710000000000000000e+02,2.460897896916637295e-01
3.720000000000000000e+02,2.442430798942907821e-01
3.730000000000000000e+02,2.423470213209448498e-01
3.740000000000000000e+02,2.404079094262707994e-01
3.750000000000000000e+02,2.384321954787963771e-01
3.760000000000000000e+02,2.364264758237933084e-01
3.770000000000000000e+02,2.343974809734411802e-01
3.780000000000000000e+02,2.323520645556896858e-01
3.790000000000000000e+02,2.302971921524205878e-01
3.800000000000000000e+02,2.282399300565433886e-01
3.810000000000000000e+02,2.261874339765276298e-01
3.820000000000000000e+02,2.241469377155906884e-01
3.830000000000000000e+02,2.221257418513327697e-01
3.840000000000000000e+02,2.201312024400481626e-01
3.850000000000000000e+02,2.181707197682671850e-01
3.860000000000000000e+02,2.162517271722945722e-01
3.870000000000000000e+02,2.143816799446374710e-01
3.880000000000000000e+02,2.125680443442655998e-01
3.890000000000000000e+02,2.108182867256366277e-01
3.900000000000000000e+02,2.091398627993704684e-01
3.910000000000000000e+02,2.075402070353822848e-01
3.920000000000000000e+02,2.060267222172011969e-01
3.930000000000000000e+02,2.046067691541408051e-01
3.940000000000000000e+02,2.032876565559521287e-01
3.950000000000000000e+02,2.020766310726026527e-01
3.960000000000000000e+02,2.009808674999265243e-01
3.970000000000000000e+02,2.000074591500587140e-01
3.980000000000000000e+02,1.991634083838651204e-01
3.990000000000000000e+02,1.984556173009988655e-01
4.000000000000000000e+02,1.978908785817750648e-01
4.010000000000000000e+02,1.974758664737966962e-01
4.020000000000000000e+02,1.972171279151693490e-01
4.030000000000000000e+02,1.971210737852639450e-01
4.040000000000000000e+02,1.971939702733029876e-01
4.050000000000000000e+02,1.974419303546028626e-01
4.060000000000000000e+02,1.978709053640888560e-01
4.070000000000000000e+02,1.984866766567384977e-01
4.080000000000000000e+02,1.992948473448939994e-01
4.090000000000000000e+02,2.003008341029428874e-01
4.100000000000000000e+02,2.015098590306712290e-01
4.110000000000000000e+02,2.029269415676795418e-01
4.120000000000000000e+02,2.045568904525855158e-01
4.130000000000000000e+02,2.064042957223302388e-01
4.140000000000000000e+02,2.084735207487547759e-01
4.150000000000000000e+02,2.107686943116697242e-01
4.160000000000000000e+02,2.132937027099577054e-01
4.170000000000000000e+02,2.160521819147144251e-01
4.180000000000000000e+02,2.190475097711221397e-01
4.190000000000000000e+02,2.222827982585566797e-01
4.200000000000000000e+02,2.257608858213619729e-01
4.210000000000000000e+02,2.294843297857557252e-01
4.220000000000000000e+02,2.334553988813936609e-01
4.230000000000000000e+02,2.376760658892036748e-01
4.240000000000000000e+02,2.421480004401371233e-01
4.250000000000000000e+02,2.468725619924637682e-01
4.260000000000000000e+02,2.518507930180618470e-01
4.270000000000000000e+02,2.570834124308344903e-01
4.280000000000000000e+02,2.625708092928111248e-01
4.290000000000000000e+02,2.683130368356763107e-01
4.300000000000000000e+02,2.743098068373089338e-01
4.310000000000000000e+02,2.805604843943876325e-01
4.320000000000000000e+02,2.870640831331974230e-01
4.330000000000000000e+02,2.938192609013698942e-01
4.340000000000000000e+02,3.008243159834046443e-01
4.350000000000000000e+02,3.080771838824076236e-01
4.360000000000000000e+02,3.155754347095080514e-01
4.370000000000000000e+02,3.233162712208687006e-01
4.380000000000000000e+02,3.312965275400555631e-01
4.390000000000000000e+02,3.395126686007998162e-01
4.400000000000000000e+02,3.479607903418392434e-01
4.410000000000000000e+02,3.566366206815986262e-01
4.420000000000000000e+02,3.655355212959803257e-01
4.430000000000000000e+02,3.746524902174998561e-01
4.440000000000000000e+02,3.839821652684643483e-01
4.450000000000000000e+02,3.935188283349356220e-01
4.460000000000000000e+02,4.032564104818007200e-01
4.470000000000000000e+02,4.131884979026059224e-01
4.480000000000000000e+02,4.233083386908438883e-01
4.490000000000000000e+02,4.336088504122331821e-01
4.500000000000000000e+02,4.440826284503324173e-01
4.510000000000000000e+02,4.547219550906042573e-01
4.520000000000000000e+02,4.655188093009257622e-01
4.530000000000000000e+02,4.764648771596322052e-01
4.540000000000000000e+02,4.875515628755440756e-01
4.550000000000000000e+02,4.987700003382000702e-01
4.560000000000000000e+02,5.101110651307576571e-01
4.570000000000000000e+02,5.215653869328772396e-01
4.580000000000000000e+02,5.331233622363676927e-01
4.590000000000000000e+02,5.447751672926227640e-01
4.600000000000000000e+02,5.565107712079352398e-01
4.610000000000000000e+02,5.683199491006751813e-01
4.620000000000000000e+02,5.801922952332223549e-01
4.630000000000000000e+02,5.921172360313338157e-01
4.640000000000000000e+02,6.040840429045029047e-01
4.650000000000000000e+02,6.160818447827141053e-01
4.660000000000000000e+02,6.280996402879392981e-01
4.670000000000000000e+02,6.401263094626321593e-01
4.680000000000000000e+02,6.521506249824926549e-01
4.690000000000000000e+02,6.641612627867291563e-01
4.700000000000000000e+02,6.761468120660136805e-01
4.710000000000000000e+02,6.880957845562264419e-01
4.720000000000000000e+02,6.999966230948330148e-01
4.730000000000000000e+02,7.118377094063728094e-01
4.740000000000000000e+02,7.236073710939000536e-01
4.750000000000000000e+02,7.352938878242728515e-01
4.760000000000000000e+02,7.468854967069303852e-01
4.770000000000000000e+02,7.583703968779920146e-01
4.780000000000000000e+02,7.697367533142859264e-01
4.790000000000000000e+02,7.809726999149800841e-01
4.800000000000000000e+02,7.920663419019360330e-01
4.810000000000000000e+02,8.030057576034835831e-01
4.820000000000000000e+02,8.137789997000760556e-01
4.830000000000000000e+02,8.243740960240286686e-01
4.840000000000000000e+02,8.347790500192152630e-01
4.850000000000000000e+02,8.449818409800634589e-01
4.860000000000000000e+02,8.549704242023774547e-01
4.870000000000000000e+02,8.647327311912448300e-01
4.880000000000000000e+02,8.742566700834604188e-01
4.890000000000000000e+02,8.835301264533846899e-01
4.900000000000000000e+02,8.925409646817447085e-01
4.910000000000000000e+02,9.012770300764707532e-01
4.920000000000000000e+02,9.097261519430125398e-01
