wavelength_nm,sensitivity
2.000000000000000000e+02,8.776017812067803516e-04
2.010000000000000000e+02,9.604875674808197083e-04
2.020000000000000000e+02,1.050257765254221072e-03
2.030000000000000000e+02,1.147401900919214164e-03
2.040000000000000000e+02,1.252437975634048068e-03
2.050000000000000000e+02,1.365913695235985385e-03
2.060000000000000000e+02,1.488407727749923226e-03
2.070000000000000000e+02,1.620530987555852866e-03
2.080000000000000000e+02,1.762927945142169243e-03
2.090000000000000000e+02,1.916277961227075667e-03
2.100000000000000000e+02,2.081296643876924708e-03
2.110000000000000000e+02,2.258737227087701752e-03
2.120000000000000000e+02,2.449391969123757788e-03
2.130000000000000000e+02,2.654093568725873417e-03
2.140000000000000000e+02,2.873716597108528538e-03
2.150000000000000000e+02,3.109178943463405693e-03
2.160000000000000000e+02,3.361443271472486834e-03
2.170000000000000000e+02,3.631518484109188746e-03
2.180000000000000000e+02,3.920461193769555173e-03
2.190000000000000000e+02,4.229377194527683334e-03
2.200000000000000000e+02,4.559422933049440269e-03
2.210000000000000000e+02,4.911806974426681169e-03
2.220000000000000000e+02,5.287791458910378467e-03
2.230000000000000000e+02,5.688693545224795742e-03
2.240000000000000000e+02,6.115886835837107058e-03
2.250000000000000000e+02,6.570802779236798070e-03
2.260000000000000000e+02,7.054932043948358711e-03
2.270000000000000000e+02,7.569825858657748714e-03
2.280000000000000000e+02,8.117097312480846955e-03
2.290000000000000000e+02,8.698422609038650166e-03
2.300000000000000000e+02,9.315542267632559784e-03
2.310000000000000000e+02,9.970262264432558016e-03
2.320000000000000000e+02,1.066445510620488320e-02
2.330000000000000000e+02,1.140006082871280156e-02
2.340000000000000000e+02,1.217908791152820004e-02
2.350000000000000000e+02,1.300361410059379559e-02
2.360000000000000000e+02,1.387578712947643705e-02
2.370000000000000000e+02,1.479782532985796789e-02
2.380000000000000000e+02,1.577201812141766635e-02
2.390000000000000000e+02,1.680072637087859366e-02
2.400000000000000000e+02,1.788638260961845222e-02
2.410000000000000000e+02,1.903149109888799609e-02
2.420000000000000000e+02,2.023862773134329704e-02
2.430000000000000000e+02,2.151043975728055696e-02
2.440000000000000000e+02,2.284964532367559156e-02
2.450000000000000000e+02,2.425903281387283700e-02
2.460000000000000000e+02,2.574145997555011764e-02
2.470000000000000000e+02,2.729985282440827027e-02
2.480000000000000000e+02,2.893720431090752304e-02
2.490000000000000000e+02,3.065657273729779225e-02
2.500000000000000000e+02,3.246107991217771216e-02
2.510000000000000000e+02,3.435390902987045525e-02
2.520000000000000000e+02,3.633830226203259295e-02
2.530000000000000000e+02,3.841755804911969191e-02
2.540000000000000000e+02,4.059502807962865611e-02
2.550000000000000000e+02,4.287411394542522958e-02
2.560000000000000000e+02,4.525826346195625099e-02
2.570000000000000000e+02,4.775096664274258718e-02
2.580000000000000000e+02,5.035575131826238587e-02
2.590000000000000000e+02,5.307617839016195299e-02
2.600000000000000000e+02,5.591583671269127753e-02
2.610000000000000000e+02,5.887833759434347308e-02
2.620000000000000000e+02,6.196730891390203610e-02
2.630000000000000000e+02,6.518638884645250320e-02
2.640000000000000000e+02,6.853921919641735305e-02
2.650000000000000000e+02,7.202943833630832959e-02
2.660000000000000000e+02,7.566067375166993236e-02
2.670000000000000000e+02,7.943653419460899867e-02
2.680000000000000000e+02,8.336060145035657787e-02
2.690000000000000000e+02,8.743642172349705421e-02
2.700000000000000000e+02,9.166749665280883586e-02
2.710000000000000000e+02,9.605727396609166358e-02
2.720000000000000000e+02,1.006091377888819055e-01
2.730000000000000000e+02,1.053263986235902089e-01
2.740000000000000000e+02,1.102122830182951513e-01
2.750000000000000000e+02,1.152699229471900733e-01
2.760000000000000000e+02,1.205023449274893604e-01
2.770000000000000000e+02,1.259124589004223527e-01
2.780000000000000000e+02,1.315030469067661467e-01
2.790000000000000000e+02,1.372767515901619773e-01
2.800000000000000000e+02,1.432360645641878871e-01
2.810000000000000000e+02,1.493833146818215607e-01
2.820000000000000000e+02,1.557206562484437784e-01
2.830000000000000000e+02,1.622500572219318093e-01
2.840000000000000000e+02,1.689732874455854295e-01
2.850000000000000000e+02,1.758919069616214081e-01
2.860000000000000000e+02,1.830072544547217128e-01
2.870000000000000000e+02,1.903204358765809290e-01
2.880000000000000000e+02,1.978323133035649328e-01
2.890000000000000000e+02,2.055434940804069521e-01
2.900000000000000000e+02,2.134543203033311132e-01
2.910000000000000000e+02,2.215648586960602129e-01
2.920000000000000000e+02,2.298748909318165390e-01
2.930000000000000000e+02,2.383839044536622265e-01
2.940000000000000000e+02,2.470910838443141910e-01
2.950000000000000000e+02,2.559953027949056215e-01
2.960000000000000000e+02,2.650951167200631953e-01
2.970000000000000000e+02,2.743887560641047330e-01
2.980000000000000000e+02,2.838741203401655144e-01
2.990000000000000000e+02,2.935487729406340840e-01
3.000000000000000000e+02,3.034099367534598968e-01
3.010000000000000000e+02,3.134544906146648491e-01
3.020000000000000000e+02,3.236789666228715445e-01
3.030000000000000000e+02,3.340795483367728913e-01
3.040000000000000000e+02,3.446520698713718689e-01
3.050000000000000000e+02,3.553920159034868465e-01
3.060000000000000000e+02,3.662945225915282821e-01
3.070000000000000000e+02,3.773543794089749825e-01
3.080000000000000000e+02,3.885660318853670359e-01
3.090000000000000000e+02,3.999235852430238491e-01
3.100000000000000000e+02,4.114208089122157741e-01
3.110000000000000000e+02,4.230511419021684150e-01
3.120000000000000000e+02,4.348076990001604747e-01
3.130000000000000000e+02,4.466832777661461917e-01
3.140000000000000000e+02,4.586703662858563346e-01
3.150000000000000000e+02,4.707611516412402164e-01
3.160000000000000000e+02,4.829475290534882559e-01
3.170000000000000000e+02,4.952211116507633792e-01
3.180000000000000000e+02,5.075732408101647497e-01
3.190000000000000000e+02,5.199949970214610140e-01
3.200000000000000000e+02,5.324772112187010631e-01
3.210000000000000000e+02,5.450104765250285421e-01
3.220000000000000000e+02,5.575851603558339420e-01
3.230000000000000000e+02,5.701914168258136462e-01
3.240000000000000000e+02,5.828191994065614612e-01
3.250000000000000000e+02,5.954582737829066108e-01
3.260000000000000000e+02,6.080982308583996465e-01
3.270000000000000000e+02,6.207284998629980510e-01
3.280000000000000000e+02,6.333383615191104932e-01
3.290000000000000000e+02,6.459169612256668858e-01
3.300000000000000000e+02,6.584533222236771399e-01
3.310000000000000000e+02,6.709363587107910476e-01
3.320000000000000000e+02,6.833548888765358376e-01
3.330000000000000000e+02,6.956976478341524439e-01
3.340000000000000000e+02,7.079533004290865517e-01
3.350000000000000000e+02,7.201104539081889522e-01
3.360000000000000000e+02,7.321576704373604638e-01
3.370000000000000000e+02,7.440834794586363987e-01
3.380000000000000000e+02,7.558763898804308212e-01
3.390000000000000000e+02,7.675249020966643521e-01
3.400000000000000000e+02,7.790175198317081939e-01
3.410000000000000000e+02,7.903427618082831119e-01
3.420000000000000000e+02,8.014891732345615916e-01
3.430000000000000000e+02,8.124453371045361472e-01
3.440000000000000000e+02,8.231998853021362805e-01
3.450000000000000000e+02,8.337415094944186089e-01
3.460000000000000000e+02,8.440589717922667434e-01
3.470000000000000000e+02,8.541411151483405684e-01
3.480000000000000000e+02,8.639768734512509596e-01
3.490000000000000000e+02,8.735552812621294461e-01
3.500000000000000000e+02,8.828654831246551815e-01
3.510000000000000000e+02,8.918967423622188306e-01
3.520000000000000000e+02,9.006384492560436383e-01
3.530000000000000000e+02,9.090801284758157630e-01
3.540000000000000000e+02,9.172114456096059909e-01
3.550000000000000000e+02,9.250222126126046440e-01
3.560000000000000000e+02,9.325023919645957227e-01
3.570000000000000000e+02,9.396420992941862949e-01
3.580000000000000000e+02,9.464316041938861668e-01
3.590000000000000000e+02,9.528613289144309828e-01
3.600000000000000000e+02,9.589218445896947607e-01
3.610000000000000000e+02,9.646038646056521726e-01
3.620000000000000000e+02,9.698982346888629369e-01
3.630000000000000000e+02,9.747959192526532979e-01
3.640000000000000000e+02,9.792879835037526792e-01
3.650000000000000000e+02,9.833655707799171530e-01
3.660000000000000000e+02,9.870198745617525526e-01
3.670000000000000000e+02,9.902421045816306444e-01
3.680000000000000000e+02,9.930234464418152829e-01
3.690000000000000000e+02,9.953550141558054065e-01
3.700000000000000000e+02,9.972277950452287376e-01
3.710000000000000000e+02,9.986325864639512551e-01
3.720000000000000000e+02,9.995599238869036229e-01
3.730000000000000000e+02,1.000000000000000000e+00
3.740000000000000000e+02,9.999425745672700927e-01
