wavelength_nm,sensitivity
2.000000000000000000e+02,4.001096854629840088e-04
2.010000000000000000e+02,4.363120884958087233e-04
2.020000000000000000e+02,4.755127277431873099e-04
2.030000000000000000e+02,5.179332176455883358e-04
2.040000000000000000e+02,5.638091304188115691e-04
2.050000000000000000e+02,6.133906675586981057e-04
2.060000000000000000e+02,6.669433465244145511e-04
2.070000000000000000e+02,7.247487014390591739e-04
2.080000000000000000e+02,7.871049964842744950e-04
2.090000000000000000e+02,8.543279504957285598e-04
2.100000000000000000e+02,9.267514710890071769e-04
2.110000000000000000e+02,1.004728396460796572e-03
2.120000000000000000e+02,1.088631242818792260e-03
2.130000000000000000e+02,1.178852955195987826e-03
2.140000000000000000e+02,1.275807659201208706e-03
2.150000000000000000e+02,1.379931411048928441e-03
2.160000000000000000e+02,1.491682942997919585e-03
2.170000000000000000e+02,1.611544401111079591e-03
2.180000000000000000e+02,1.740022072028845268e-03
2.190000000000000000e+02,1.877647095226569335e-03
2.200000000000000000e+02,2.024976157003543793e-03
2.210000000000000000e+02,2.182592162228954788e-03
2.220000000000000000e+02,2.351104879649136645e-03
2.230000000000000000e+02,2.531151556342529484e-03
2.240000000000000000e+02,2.723397496695118426e-03
2.250000000000000000e+02,2.928536601061276085e-03
2.260000000000000000e+02,3.147291859074382789e-03
2.270000000000000000e+02,3.380415792380408145e-03
2.280000000000000000e+02,3.628690841386762300e-03
2.290000000000000000e+02,3.892929690451029084e-03
2.300000000000000000e+02,4.173975525780396559e-03
2.310000000000000000e+02,4.472702220175527391e-03
2.320000000000000000e+02,4.790014438633831938e-03
2.330000000000000000e+02,5.126847658728486169e-03
2.340000000000000000e+02,5.484168099603330127e-03
2.350000000000000000e+02,5.862972553372065333e-03
2.360000000000000000e+02,6.264288112684509094e-03
2.370000000000000000e+02,6.689171788225826455e-03
2.380000000000000000e+02,7.138710009947616016e-03
2.390000000000000000e+02,7.614018005895580206e-03
2.400000000000000000e+02,8.116239052597938944e-03
2.410000000000000000e+02,8.646543591114691507e-03
2.420000000000000000e+02,9.206128203020833706e-03
2.430000000000000000e+02,9.796214440809336219e-03
2.440000000000000000e+02,1.041804750745295438e-02
2.450000000000000000e+02,1.107289478015890949e-02
2.460000000000000000e+02,1.176204417368911272e-02
2.470000000000000000e+02,1.248680233900074411e-02
2.480000000000000000e+02,1.324849269338958940e-02
2.490000000000000000e+02,1.404845327879080882e-02
2.500000000000000000e+02,1.488803444541027601e-02
2.510000000000000000e+02,1.576859635842388016e-02
2.520000000000000000e+02,1.669150632609102403e-02
2.530000000000000000e+02,1.765813594828351610e-02
2.540000000000000000e+02,1.866985808512918940e-02
2.550000000000000000e+02,1.972804364621147735e-02
