wavelength_nm,sensitivity
2.000000000000000000e+02,3.396004488564013891e-04
2.010000000000000000e+02,3.718510279014863797e-04
2.020000000000000000e+02,4.069103080520500336e-04
2.030000000000000000e+02,4.449972966030608869e-04
2.040000000000000000e+02,4.863456432188940069e-04
2.050000000000000000e+02,5.312044003829550533e-04
2.060000000000000000e+02,5.798388045168417640e-04
2.070000000000000000e+02,6.325310766337831738e-04
2.080000000000000000e+02,6.895812411970411639e-04
2.090000000000000000e+02,7.513079616489642303e-04
2.100000000000000000e+02,8.180493908606444693e-04
2.110000000000000000e+02,8.901640345259366179e-04
2.120000000000000000e+02,9.680316252872987748e-04
2.130000000000000000e+02,1.052054005135081129e-03
2.140000000000000000e+02,1.142656013366978888e-03
2.150000000000000000e+02,1.240286377131216396e-03
2.160000000000000000e+02,1.345418601306298074e-03
2.170000000000000000e+02,1.458551854192966781e-03
2.180000000000000000e+02,1.580211845211206998e-03
2.190000000000000000e+02,1.710951690508135965e-03
2.200000000000000000e+02,1.851352762092426394e-03
2.210000000000000000e+02,2.002025515819385194e-03
2.220000000000000000e+02,2.163610293259085691e-03
2.230000000000000000e+02,2.336778092190140363e-03
2.240000000000000000e+02,2.522231300175214325e-03
2.250000000000000000e+02,2.720704385393724750e-03
2.260000000000000000e+02,2.932964538633793094e-03
2.270000000000000000e+02,3.159812260082343807e-03
2.280000000000000000e+02,3.402081884300751490e-03
2.290000000000000000e+02,3.660642036537081929e-03
2.300000000000000000e+02,3.936396013306159986e-03
2.310000000000000000e+02,4.230282079969134752e-03
2.320000000000000000e+02,4.543273677866551535e-03
2.330000000000000000e+02,4.876379533406879560e-03
2.340000000000000000e+02,5.230643661387988745e-03
2.350000000000000000e+02,5.607145254735729049e-03
2.360000000000000000e+02,6.006998452783641682e-03
2.370000000000000000e+02,6.431351980194467341e-03
2.380000000000000000e+02,6.881388648640023205e-03
2.390000000000000000e+02,7.358324713413536000e-03
2.400000000000000000e+02,7.863409077251335560e-03
2.410000000000000000e+02,8.397922333790221530e-03
2.420000000000000000e+02,8.963175643286675973e-03
2.430000000000000000e+02,9.560509433475217547e-03
2.440000000000000000e+02,1.019129191874938202e-02
2.450000000000000000e+02,1.085691743121019147e-02
2.460000000000000000e+02,1.155880455754721564e-02
2.470000000000000000e+02,1.229839407619565811e-02
