wavelength_nm,sensitivity
2.000000000000000000e+02,1.019525146427169293e-03
2.010000000000000000e+02,1.114974083101193374e-03
2.020000000000000000e+02,1.218272548501572131e-03
2.030000000000000000e+02,1.329972140672405377e-03
2.040000000000000000e+02,1.450656049833163675e-03
2.050000000000000000e+02,1.580940388358990879e-03
2.060000000000000000e+02,1.721475548015631227e-03
2.070000000000000000e+02,1.872947583205922164e-03
2.080000000000000000e+02,2.036079618823865948e-03
2.090000000000000000e+02,2.211633281141156537e-03
2.100000000000000000e+02,2.400410149970268799e-03
2.110000000000000000e+02,2.603253230156463583e-03
2.120000000000000000e+02,2.821048440248827890e-03
2.130000000000000000e+02,3.054726115986302823e-03
2.140000000000000000e+02,3.305262526009685679e-03
2.150000000000000000e+02,3.573681396972838709e-03
2.160000000000000000e+02,3.861055444976722092e-03
2.170000000000000000e+02,4.168507909987731984e-03
2.180000000000000000e+02,4.497214089626700405e-03
2.190000000000000000e+02,4.848402868427228486e-03
2.200000000000000000e+02,5.223358238360755607e-03
2.210000000000000000e+02,5.623420806112614662e-03
2.220000000000000000e+02,6.049989282265590650e-03
2.230000000000000000e+02,6.504521947208920761e-03
2.240000000000000000e+02,6.988538088237878677e-03
2.250000000000000000e+02,7.503619401945721933e-03
2.260000000000000000e+02,8.051411355633641964e-03
2.270000000000000000e+02,8.633624501078593014e-03
2.280000000000000000e+02,9.252035733602200288e-03
2.290000000000000000e+02,9.908489488979483131e-03
2.300000000000000000e+02,1.060489887031249370e-02
2.310000000000000000e+02,1.134324669657684262e-02
2.320000000000000000e+02,1.212558646412403678e-02
2.330000000000000000e+02,1.295404321199899664e-02
2.340000000000000000e+02,1.383081428150527946e-02
2.350000000000000000e+02,1.475816996002799267e-02
2.360000000000000000e+02,1.573845399870555176e-02
2.370000000000000000e+02,1.677408399313343873e-02
2.380000000000000000e+02,1.786755161588374913e-02
2.390000000000000000e+02,1.902142268924275625e-02
2.400000000000000000e+02,2.023833708620752236e-02
2.410000000000000000e+02,2.152100844744305255e-02
2.420000000000000000e+02,2.287222370159410975e-02
2.430000000000000000e+02,2.429484237607108452e-02
2.440000000000000000e+02,2.579179568519559748e-02
2.450000000000000000e+02,2.736608538240293750e-02
2.460000000000000000e+02,2.902078236306231476e-02
2.470000000000000000e+02,3.075902500439948659e-02
2.480000000000000000e+02,3.258401722899390701e-02
2.490000000000000000e+02,3.449902627838307562e-02
2.500000000000000000e+02,3.650738018344802660e-02
2.510000000000000000e+02,3.861246491848128320e-02
2.520000000000000000e+02,4.081772122616073722e-02
2.530000000000000000e+02,4.312664110107631427e-02
2.540000000000000000e+02,4.554276391999114576e-02
2.550000000000000000e+02,4.806967220766657917e-02
2.560000000000000000e+02,5.071098702785516166e-02
2.570000000000000000e+02,5.347036298996477727e-02
2.580000000000000000e+02,5.635148286293933939e-02
2.590000000000000000e+02,5.935805178907579277e-02
2.600000000000000000e+02,6.249379109182182784e-02
2.610000000000000000e+02,6.576243167307128934e-02
2.620000000000000000e+02,6.916770699709794135e-02
2.630000000000000000e+02,7.271334566003871680e-02
2.640000000000000000e+02,7.640306354576960335e-02
2.650000000000000000e+02,8.024055557108994430e-02
2.660000000000000000e+02,8.422948702535319743e-02
2.670000000000000000e+02,8.837348451204529720e-02
2.680000000000000000e+02,9.267612650230762361e-02
2.690000000000000000e+02,9.714093351301841817e-02
2.700000000000000000e+02,1.017713579247762623e-01
2.710000000000000000e+02,1.065707734579559446e-01
2.720000000000000000e+02,1.115424643279134265e-01
2.730000000000000000e+02,1.166896141033787748e-01
2.740000000000000000e+02,1.220152942950880892e-01
2.750000000000000000e+02,1.275224527047201240e-01
2.760000000000000000e+02,1.332139015672163251e-01
2.770000000000000000e+02,1.390923055225300464e-01
2.780000000000000000e+02,1.451601694557516642e-01
2.790000000000000000e+02,1.514198262473533674e-01
2.800000000000000000e+02,1.578734244779600171e-01
2.810000000000000000e+02,1.645229161345417579e-01
2.820000000000000000e+02,1.713700443672123985e-01
2.830000000000000000e+02,1.784163313478635549e-01
2.840000000000000000e+02,1.856630662836312451e-01
2.850000000000000000e+02,1.931112936396565394e-01
2.860000000000000000e+02,2.007618016267056771e-01
2.870000000000000000e+02,2.086151110099760952e-01
2.880000000000000000e+02,2.166714642957301151e-01
2.890000000000000000e+02,2.249308153523316423e-01
2.900000000000000000e+02,2.333928195217018497e-01
2.910000000000000000e+02,2.420568242762217159e-01
2.920000000000000000e+02,2.509218604746133452e-01
2.930000000000000000e+02,2.599866342683688214e-01
2.940000000000000000e+02,2.692495197078387803e-01
2.950000000000000000e+02,2.787085520941554040e-01
2.960000000000000000e+02,2.883614221197650651e-01
2.970000000000000000e+02,2.982054708364832440e-01
2.980000000000000000e+02,3.082376854857208914e-01
2.990000000000000000e+02,3.184546962208461007e-01
3.000000000000000000e+02,3.288527737466371836e-01
3.010000000000000000e+02,3.394278278954457329e-01
3.020000000000000000e+02,3.501754071541156033e-01
3.030000000000000000e+02,3.610906991499035490e-01
3.040000000000000000e+02,3.721685320977446421e-01
3.050000000000000000e+02,3.834033772052070077e-01
3.060000000000000000e+02,3.947893520254750488e-01
3.070000000000000000e+02,4.063202247427816216e-01
3.080000000000000000e+02,4.179894193689078219e-01
3.090000000000000000e+02,4.297900218237865055e-01
3.100000000000000000e+02,4.417147868679384137e-01
3.110000000000000000e+02,4.537561458495042443e-01
3.120000000000000000e+02,4.659062152240763810e-01
3.130000000000000000e+02,4.781568058014650791e-01
3.140000000000000000e+02,4.904994326699487761e-01
3.150000000000000000e+02,5.029253257455569281e-01
3.160000000000000000e+02,5.154254408915629471e-01
3.170000000000000000e+02,5.279904715515746361e-01
3.180000000000000000e+02,5.406108608385187253e-01
3.190000000000000000e+02,5.532768140213790709e-01
3.200000000000000000e+02,5.659783113517661279e-01
3.210000000000000000e+02,5.787051211732817668e-01
3.220000000000000000e+02,5.914468132581488513e-01
3.230000000000000000e+02,6.041927723177098475e-01
3.240000000000000000e+02,6.169322116360473895e-01
3.250000000000000000e+02,6.296541867791718428e-01
3.260000000000000000e+02,6.423476093358265748e-01
3.270000000000000000e+02,6.550012606499434620e-01
3.280000000000000000e+02,6.676038055090179890e-01
3.290000000000000000e+02,6.801438057571240758e-01
3.300000000000000000e+02,6.926097338057792818e-01
3.310000000000000000e+02,7.049899860203655555e-01
3.320000000000000000e+02,7.172728959641079260e-01
3.330000000000000000e+02,7.294467474856519695e-01
3.340000000000000000e+02,7.414997876399149757e-01
3.350000000000000000e+02,7.534202394348983312e-01
3.360000000000000000e+02,7.651963143995310634e-01
3.370000000000000000e+02,7.768162249690833132e-01
3.380000000000000000e+02,7.882681966851601274e-01
3.390000000000000000e+02,7.995404802065843031e-01
3.400000000000000000e+02,8.106213631254435281e-01
3.410000000000000000e+02,8.214991815790384511e-01
3.420000000000000000e+02,8.321623316432736894e-01
3.430000000000000000e+02,8.425992804860246155e-01
3.440000000000000000e+02,8.527985772500158435e-01
