wavelength_nm,sensitivity
2.000000000000000000e+02,7.892736478211319741e-04
2.010000000000000000e+02,8.463987312706732977e-04
2.020000000000000000e+02,9.072737996598838816e-04
2.030000000000000000e+02,9.721151247139950572e-04
2.040000000000000000e+02,1.041149262611279621e-03
2.050000000000000000e+02,1.114613391435261133e-03
2.060000000000000000e+02,1.192755649374653863e-03
2.070000000000000000e+02,1.275835472834520789e-03
2.080000000000000000e+02,1.364123933563227663e-03
2.090000000000000000e+02,1.457904073839831269e-03
2.100000000000000000e+02,1.557471238705728954e-03
2.110000000000000000e+02,1.663133404162981093e-03
2.120000000000000000e+02,1.775211500199769688e-03
2.130000000000000000e+02,1.894039727441219814e-03
2.140000000000000000e+02,2.019965866161702126e-03
2.150000000000000000e+02,2.153351576332523335e-03
2.160000000000000000e+02,2.294572687317542655e-03
2.170000000000000000e+02,2.444019475768317937e-03
2.180000000000000000e+02,2.602096930210629367e-03
2.190000000000000000e+02,2.769225000755755860e-03
2.200000000000000000e+02,2.945838832313114799e-03
2.210000000000000000e+02,3.132388979625966557e-03
2.220000000000000000e+02,3.329341602399469701e-03
2.230000000000000000e+02,3.537178638740492119e-03
2.240000000000000000e+02,3.756397955081820349e-03
2.250000000000000000e+02,3.987513470720085128e-03
2.260000000000000000e+02,4.231055255057213256e-03
2.270000000000000000e+02,4.487569595599801529e-03
2.280000000000000000e+02,4.757619034740215302e-03
2.290000000000000000e+02,5.041782373317425445e-03
2.300000000000000000e+02,5.340654638935419564e-03
2.310000000000000000e+02,5.654847017002456906e-03
2.320000000000000000e+02,5.984986742446420614e-03
2.330000000000000000e+02,6.331716950059760284e-03
2.340000000000000000e+02,6.695696481433255354e-03
2.350000000000000000e+02,7.077599646450606977e-03
2.360000000000000000e+02,7.478115937336740800e-03
2.370000000000000000e+02,7.897949693281704209e-03
2.380000000000000000e+02,8.337819713699578389e-03
2.390000000000000000e+02,8.798458818228303141e-03
2.400000000000000000e+02,9.280613351632140129e-03
2.410000000000000000e+02,9.785042631833501189e-03
2.420000000000000000e+02,1.031251833937628717e-02
2.430000000000000000e+02,1.086382384670775240e-02
2.440000000000000000e+02,1.143975348576143150e-02
2.450000000000000000e+02,1.204111175242979399e-02
2.460000000000000000e+02,1.266871244663138156e-02
2.470000000000000000e+02,1.332337774680500929e-02
2.480000000000000000e+02,1.400593721780138065e-02
2.490000000000000000e+02,1.471722675129161391e-02
2.500000000000000000e+02,1.545808743797195614e-02
2.510000000000000000e+02,1.622936437101469426e-02
2.520000000000000000e+02,1.703190538039628041e-02
2.530000000000000000e+02,1.786655969792584273e-02
2.540000000000000000e+02,1.873417655299910653e-02
2.550000000000000000e+02,1.963560369931497893e-02
2.560000000000000000e+02,2.057168587301370227e-02
2.570000000000000000e+02,2.154326318292695136e-02
2.580000000000000000e+02,2.255116943386969997e-02
2.590000000000000000e+02,2.359623038415248342e-02
2.600000000000000000e+02,2.467926193874861451e-02
2.610000000000000000e+02,2.580106827981388032e-02
2.620000000000000000e+02,2.696243993652686771e-02
2.630000000000000000e+02,2.816415179649220391e-02
2.640000000000000000e+02,2.940696106123069989e-02
2.650000000000000000e+02,3.069160514856393573e-02
2.660000000000000000e+02,3.201879954498870057e-02
2.670000000000000000e+02,3.338923561142628088e-02
2.680000000000000000e+02,3.480357834602280237e-02
2.690000000000000000e+02,3.626246410796692826e-02
2.700000000000000000e+02,3.776649830658170698e-02
2.710000000000000000e+02,3.931625306023454197e-02
2.720000000000000000e+02,4.091226482989317181e-02
2.730000000000000000e+02,4.255503203243535953e-02
2.740000000000000000e+02,4.424501263909254301e-02
2.750000000000000000e+02,4.598262176467444312e-02
2.760000000000000000e+02,4.776822925347849746e-02
2.770000000000000000e+02,4.960215726803570563e-02
2.780000000000000000e+02,5.148467788708017967e-02
2.790000000000000000e+02,5.341601071935361128e-02
2.800000000000000000e+02,5.539632054006436712e-02
2.810000000000000000e+02,5.742571495701562917e-02
2.820000000000000000e+02,5.950424211359379295e-02
2.830000000000000000e+02,6.163188843596728583e-02
2.840000000000000000e+02,6.380857643198598050e-02
2.850000000000000000e+02,6.603416254939088736e-02
2.860000000000000000e+02,6.830843510104023242e-02
2.870000000000000000e+02,7.063111226493329342e-02
2.880000000000000000e+02,7.300184016686402100e-02
2.890000000000000000e+02,7.542019105356009834e-02
2.900000000000000000e+02,7.788566156416520947e-02
2.910000000000000000e+02,8.039767110789124149e-02
2.920000000000000000e+02,8.295556035561504893e-02
2.930000000000000000e+02,8.555858985310786646e-02
2.940000000000000000e+02,8.820593876347489204e-02
2.950000000000000000e+02,9.089670374623837201e-02
2.960000000000000000e+02,9.362989798032701760e-02
2.970000000000000000e+02,9.640445033803035635e-02
2.980000000000000000e+02,9.921920471674576525e-02
2.990000000000000000e+02,1.020729195350811580e-01
3.000000000000000000e+02,1.049642673995845044e-01
3.010000000000000000e+02,1.078918349480466332e-01
3.020000000000000000e+02,1.108541228749719831e-01
