wavelength_nm,sensitivity
2.000000000000000000e+02,5.503747679673370342e-04
2.010000000000000000e+02,5.954431300952286142e-04
2.020000000000000000e+02,6.438759067865473503e-04
2.030000000000000000e+02,6.958957307104556619e-04
2.040000000000000000e+02,7.517376152526218961e-04
2.050000000000000000e+02,8.116494598642097621e-04
2.060000000000000000e+02,8.758925621914686937e-04
2.070000000000000000e+02,9.447421359136926695e-04
2.080000000000000000e+02,1.018487833110565555e-03
2.090000000000000000e+02,1.097434269869719883e-03
2.100000000000000000e+02,1.181901553731719507e-03
2.110000000000000000e+02,1.272225811453189023e-03
2.120000000000000000e+02,1.368759715449505187e-03
2.130000000000000000e+02,1.471873007156893629e-03
2.140000000000000000e+02,1.581953015430125585e-03
2.150000000000000000e+02,1.699405167967026542e-03
2.160000000000000000e+02,1.824653493624752917e-03
2.170000000000000000e+02,1.958141113366257402e-03
2.180000000000000000e+02,2.100330717448583261e-03
2.190000000000000000e+02,2.251705026338752906e-03
2.200000000000000000e+02,2.412767232718160404e-03
2.210000000000000000e+02,2.584041421813770140e-03
2.220000000000000000e+02,2.766072967174099118e-03
2.230000000000000000e+02,2.959428898891519003e-03
2.240000000000000000e+02,3.164698241159816586e-03
2.250000000000000000e+02,3.382492315948796169e-03
2.260000000000000000e+02,3.613445009476018346e-03
2.270000000000000000e+02,3.858212998061467426e-03
2.280000000000000000e+02,4.117475929863854099e-03
2.290000000000000000e+02,4.391936558919406347e-03
2.300000000000000000e+02,4.682320827835160897e-03
2.310000000000000000e+02,4.989377895431270499e-03
2.320000000000000000e+02,5.313880105580482717e-03
2.330000000000000000e+02,5.656622893459370763e-03
2.340000000000000000e+02,6.018424625406076402e-03
2.350000000000000000e+02,6.400126368573844093e-03
2.360000000000000000e+02,6.802591586580125811e-03
2.370000000000000000e+02,7.226705757377649246e-03
2.380000000000000000e+02,7.673375909618549394e-03
2.390000000000000000e+02,8.143530073844986936e-03
2.400000000000000000e+02,8.638116644922316442e-03
2.410000000000000000e+02,9.158103652232459785e-03
2.420000000000000000e+02,9.704477934268766065e-03
2.430000000000000000e+02,1.027824421441779837e-02
2.440000000000000000e+02,1.088042407488085984e-02
2.450000000000000000e+02,1.151205482587727008e-02
2.460000000000000000e+02,1.217418826748490300e-02
2.470000000000000000e+02,1.286788934170960720e-02
2.480000000000000000e+02,1.359423467263621427e-02
2.490000000000000000e+02,1.435431099279811142e-02
2.500000000000000000e+02,1.514921345421170462e-02
2.510000000000000000e+02,1.598004382285470731e-02
2.520000000000000000e+02,1.684790855572474919e-02
2.530000000000000000e+02,1.775391675999476657e-02
2.540000000000000000e+02,1.869917803418624444e-02
2.550000000000000000e+02,1.968480019170691306e-02
2.560000000000000000e+02,2.071188686754854222e-02
2.570000000000000000e+02,2.178153500940879436e-02
2.580000000000000000e+02,2.289483225499068866e-02
2.590000000000000000e+02,2.405285419774002426e-02
2.600000000000000000e+02,2.525666154380672157e-02
2.610000000000000000e+02,2.650729716355542179e-02
2.620000000000000000e+02,2.780578304150587918e-02
2.630000000000000000e+02,2.915311712914954445e-02
2.640000000000000000e+02,3.055027010566547380e-02
2.650000000000000000e+02,3.199818205214272765e-02
2.660000000000000000e+02,3.349775904550671840e-02
2.670000000000000000e+02,3.504986967893958250e-02
2.680000000000000000e+02,3.665534151617764330e-02
2.690000000000000000e+02,3.831495748766149123e-02
2.700000000000000000e+02,4.002945223709821615e-02
2.710000000000000000e+02,4.179950842757519658e-02
2.720000000000000000e+02,4.362575301692992596e-02
2.730000000000000000e+02,4.550875351263423962e-02
2.740000000000000000e+02,4.744901421698503180e-02
