wavelength_nm,sensitivity
2.000000000000000000e+02,3.512957147161058008e-04
2.010000000000000000e+02,3.843303356327901709e-04
2.020000000000000000e+02,4.202126746467096398e-04
2.030000000000000000e+02,4.591623819945317019e-04
2.040000000000000000e+02,5.014136164702237509e-04
2.050000000000000000e+02,5.472157874052813696e-04
2.060000000000000000e+02,5.968343161196125544e-04
2.070000000000000000e+02,6.505514156976015304e-04
2.080000000000000000e+02,7.086668877565937630e-04
2.090000000000000000e+02,7.714989346774936245e-04
2.100000000000000000e+02,8.393849855596419119e-04
2.110000000000000000e+02,9.126825339448214631e-04
2.120000000000000000e+02,9.917699851286661261e-04
2.130000000000000000e+02,1.077047510642252688e-03
2.140000000000000000e+02,1.168937907242877930e-03
2.150000000000000000e+02,1.267887457501710221e-03
2.160000000000000000e+02,1.374366788817822822e-03
2.170000000000000000e+02,1.488871727424056221e-03
2.180000000000000000e+02,1.611924143681262456e-03
2.190000000000000000e+02,1.744072784684733146e-03
2.200000000000000000e+02,1.885894089931547824e-03
2.210000000000000000e+02,2.037992985521283693e-03
2.220000000000000000e+02,2.201003652086647253e-03
2.230000000000000000e+02,2.375590261376832411e-03
2.240000000000000000e+02,2.562447676146331014e-03
2.250000000000000000e+02,2.762302107737490704e-03
2.260000000000000000e+02,2.975911725488431404e-03
2.270000000000000000e+02,3.204067211850623095e-03
2.280000000000000000e+02,3.447592256865560263e-03
2.290000000000000000e+02,3.707343985428649801e-03
2.300000000000000000e+02,3.984213310564186684e-03
2.310000000000000000e+02,4.279125205749764391e-03
2.320000000000000000e+02,4.593038889164581182e-03
2.330000000000000000e+02,4.926947912596362292e-03
2.340000000000000000e+02,5.281880147628526673e-03
2.350000000000000000e+02,5.658897661645450640e-03
2.360000000000000000e+02,6.059096476142235808e-03
2.370000000000000000e+02,6.483606199808079201e-03
2.380000000000000000e+02,6.933589528872891213e-03
2.390000000000000000e+02,7.410241607266657669e-03
2.400000000000000000e+02,7.914789239243701438e-03
2.410000000000000000e+02,8.448489947270878056e-03
2.420000000000000000e+02,9.012630868173230128e-03
2.430000000000000000e+02,9.608527480773690344e-03
2.440000000000000000e+02,1.023752215855806835e-02
2.450000000000000000e+02,1.090098254124375818e-02
2.460000000000000000e+02,1.160029971953286873e-02
2.470000000000000000e+02,1.233688622778773142e-02
2.480000000000000000e+02,1.311217383988192917e-02
2.490000000000000000e+02,1.392761116405180979e-02
2.500000000000000000e+02,1.478466103320441247e-02
2.510000000000000000e+02,1.568479768782621298e-02
2.520000000000000000e+02,1.662950374938401352e-02
2.530000000000000000e+02,1.762026698291336083e-02
2.540000000000000000e+02,1.865857684835095509e-02
2.550000000000000000e+02,1.974592084108256484e-02
2.560000000000000000e+02,2.088378062314700037e-02
2.570000000000000000e+02,2.207362794755589677e-02
2.580000000000000000e+02,2.331692037925689812e-02
2.590000000000000000e+02,2.461509681737938243e-02
2.600000000000000000e+02,2.596957282455580537e-02
2.610000000000000000e+02,2.738173577030083086e-02
2.620000000000000000e+02,2.885293979665352893e-02
2.630000000000000000e+02,3.038450061553647427e-02
2.640000000000000000e+02,3.197769014855642716e-02
2.650000000000000000e+02,3.363373102125748193e-02
2.660000000000000000e+02,3.535379092513226545e-02
2.670000000000000000e+02,3.713897686199441744e-02
2.680000000000000000e+02,3.899032928660738084e-02
2.690000000000000000e+02,4.090881616474379562e-02
2.700000000000000000e+02,4.289532696510904575e-02
2.710000000000000000e+02,4.495066660479226511e-02
2.720000000000000000e+02,4.707554936910147980e-02
2.730000000000000000e+02,4.927059282778667448e-02
2.740000000000000000e+02,5.153631177074756431e-02
2.750000000000000000e+02,5.387311218735306440e-02
