wavelength_nm,sensitivity
2.000000000000000000e+02,6.858270225109106076e-05
2.010000000000000000e+02,7.825914359720144192e-05
2.020000000000000000e+02,8.920591066213914627e-05
2.030000000000000000e+02,1.015757916136214714e-04
2.040000000000000000e+02,1.155380007817483274e-04
2.050000000000000000e+02,1.312796876369965121e-04
2.060000000000000000e+02,1.490075523481311731e-04
2.070000000000000000e+02,1.689495715875574211e-04
2.080000000000000000e+02,1.913568378815662147e-04
2.090000000000000000e+02,2.165055153530833702e-04
2.100000000000000000e+02,2.446989141686341913e-04
2.110000000000000000e+02,2.762696853733462863e-04
2.120000000000000000e+02,3.115821370720242220e-04
2.130000000000000000e+02,3.510346720853081562e-04
2.140000000000000000e+02,3.950623462725240073e-04
2.150000000000000000e+02,4.441395456627863559e-04
2.160000000000000000e+02,4.987827793693352593e-04
2.170000000000000000e+02,5.595535839762769094e-04
2.180000000000000000e+02,6.270615336798095922e-04
2.190000000000000000e+02,7.019673489370118358e-04
2.200000000000000000e+02,7.849860947248595705e-04
2.210000000000000000e+02,8.768904577422233183e-04
2.220000000000000000e+02,9.785140900018991523e-04
2.230000000000000000e+02,1.090755004263327648e-03
2.240000000000000000e+02,1.214579004657026420e-03
2.250000000000000000e+02,1.351023133657715345e-03
2.260000000000000000e+02,1.501199114286513566e-03
2.270000000000000000e+02,1.666296764076374923e-03
2.280000000000000000e+02,1.847587354935725703e-03
2.290000000000000000e+02,2.046426890610731925e-03
2.300000000000000000e+02,2.264259270998206751e-03
2.310000000000000000e+02,2.502619310121420929e-03
2.320000000000000000e+02,2.763135572176549093e-03
2.330000000000000000e+02,3.047532987715356051e-03
2.340000000000000000e+02,3.357635209781460305e-03
2.350000000000000000e+02,3.695366667694786021e-03
2.360000000000000000e+02,4.062754274217202782e-03
2.370000000000000000e+02,4.461928740067620455e-03
2.380000000000000000e+02,4.895125448225397941e-03
2.390000000000000000e+02,5.364684839206344813e-03
2.400000000000000000e+02,5.873052257555161360e-03
2.410000000000000000e+02,6.422777209213782756e-03
2.420000000000000000e+02,7.016511979236429372e-03
2.430000000000000000e+02,7.657009559569932268e-03
2.440000000000000000e+02,8.347120837341443986e-03
2.450000000000000000e+02,9.089790995332270099e-03
2.460000000000000000e+02,9.888055078102239714e-03
2.470000000000000000e+02,1.074503267959585687e-02
2.480000000000000000e+02,1.166392171103927157e-02
2.490000000000000000e+02,1.264799121155054176e-02
2.500000000000000000e+02,1.370057316815484309e-02
2.510000000000000000e+02,1.482505331683659465e-02
2.520000000000000000e+02,1.602486090187947229e-02
2.530000000000000000e+02,1.730345737704577780e-02
2.540000000000000000e+02,1.866432403912242355e-02
2.550000000000000000e+02,2.011094859199818660e-02
2.560000000000000000e+02,2.164681064771466906e-02
2.570000000000000000e+02,2.327536617981980707e-02
2.580000000000000000e+02,2.500003095380836510e-02
2.590000000000000000e+02,2.682416296940919737e-02
2.600000000000000000e+02,2.875104395991475922e-02
2.610000000000000000e+02,3.078386000457599553e-02
2.620000000000000000e+02,3.292568132122774410e-02
2.630000000000000000e+02,3.517944131767754279e-02
2.640000000000000000e+02,3.754791499188989135e-02
2.650000000000000000e+02,4.003369678252208241e-02
2.660000000000000000e+02,4.263917798280611460e-02
2.670000000000000000e+02,4.536652384200368787e-02
2.680000000000000000e+02,4.821765048956391103e-02
2.690000000000000000e+02,5.119420182755497067e-02
2.700000000000000000e+02,5.429752654679011192e-02
2.710000000000000000e+02,5.752865543118750036e-02
2.720000000000000000e+02,6.088827912315823709e-02
2.730000000000000000e+02,6.437672653007028845e-02
2.740000000000000000e+02,6.799394405795680663e-02
2.750000000000000000e+02,7.173947586349654904e-02
2.760000000000000000e+02,7.561244531876772090e-02
2.770000000000000000e+02,7.961153788525457409e-02
2.780000000000000000e+02,8.373498559395724239e-02
2.790000000000000000e+02,8.798055332713429488e-02
2.800000000000000000e+02,9.234552709410635829e-02
2.810000000000000000e+02,9.682670448860987433e-02
2.820000000000000000e+02,1.014203875083601325e-01
2.830000000000000000e+02,1.061223779087324542e-01
2.840000000000000000e+02,1.109279752517892126e-01
2.850000000000000000e+02,1.158319777992768557e-01
2.860000000000000000e+02,1.208286863837206571e-01
2.870000000000000000e+02,1.259119113754074426e-01
2.880000000000000000e+02,1.310749828449422616e-01
2.890000000000000000e+02,1.363107640012907462e-01
2.900000000000000000e+02,1.416116679638878550e-01
2.910000000000000000e+02,1.469696779046548163e-01
2.920000000000000000e+02,1.523763705717672556e-01
2.930000000000000000e+02,1.578229431819501982e-01
2.940000000000000000e+02,1.633002436421303327e-01
2.950000000000000000e+02,1.687988040346695140e-01
2.960000000000000000e+02,1.743088772733680514e-01
2.970000000000000000e+02,1.798204768101978879e-01
2.980000000000000000e+02,1.853234192455631979e-01
2.990000000000000000e+02,1.908073696680409881e-01
3.000000000000000000e+02,1.962618895232983995e-01
3.010000000000000000e+02,2.016764867864733468e-01
3.020000000000000000e+02,2.070406681880128663e-01
3.030000000000000000e+02,2.123439932200407720e-01
3.040000000000000000e+02,2.175761296290306401e-01
3.050000000000000000e+02,2.227269100811225533e-01
3.060000000000000000e+02,2.277863896690816292e-01
3.070000000000000000e+02,2.327449039148460075e-01
3.080000000000000000e+02,2.375931269090548470e-01
3.090000000000000000e+02,2.423221292190377574e-01
3.100000000000000000e+02,2.469234351896348600e-01
3.110000000000000000e+02,2.513890792570134258e-01
3.120000000000000000e+02,2.557116608944322023e-01
3.130000000000000000e+02,2.598843978107461816e-01
3.140000000000000000e+02,2.639011770273523294e-01
3.150000000000000000e+02,2.677566034672521078e-01
3.160000000000000000e+02,2.714460457009093552e-01
3.170000000000000000e+02,2.749656785075306753e-01
3.180000000000000000e+02,2.783125219272041817e-01
