wavelength_nm,relative_intensity
2.000000000000000000e+02,8.028684114321370420e-04
2.010000000000000000e+02,7.336961434459303086e-04
2.020000000000000000e+02,6.766122329718762124e-04
2.030000000000000000e+02,6.887005904840288496e-04
2.040000000000000000e+02,5.261793394873102167e-04
2.050000000000000000e+02,5.762117080792752023e-04
2.060000000000000000e+02,6.285945906319365941e-04
2.070000000000000000e+02,5.775548589139589250e-04
2.080000000000000000e+02,5.624444120237681284e-04
2.090000000000000000e+02,6.024031493556059524e-04
2.100000000000000000e+02,5.049239775284418766e-04
2.110000000000000000e+02,4.831313552356999931e-04
2.120000000000000000e+02,5.118747830979296538e-04
2.130000000000000000e+02,4.989469563140997441e-04
2.140000000000000000e+02,5.157027629767779384e-04
2.150000000000000000e+02,6.366534956400383884e-04
2.160000000000000000e+02,6.128125683244040446e-04
2.170000000000000000e+02,4.589210614405276256e-04
2.180000000000000000e+02,5.069387037804672438e-04
2.190000000000000000e+02,4.180556972952783972e-04
2.200000000000000000e+02,3.206772617807155464e-04
2.210000000000000000e+02,3.428392505529953452e-04
2.220000000000000000e+02,4.193988481299620115e-04
2.230000000000000000e+02,4.335019318941400702e-04
2.240000000000000000e+02,4.771543340213578606e-04
2.250000000000000000e+02,5.684885907798444471e-04
2.260000000000000000e+02,5.382676969994628540e-04
2.270000000000000000e+02,5.278582780306647617e-04
2.280000000000000000e+02,5.953516074735169502e-04
2.290000000000000000e+02,6.134841437417457976e-04
2.300000000000000000e+02,5.115054166183916843e-04
2.310000000000000000e+02,5.342382444954119026e-04
2.320000000000000000e+02,6.003884231035805851e-04
2.330000000000000000e+02,6.531070933649127993e-04
2.340000000000000000e+02,6.981026463268142582e-04
2.350000000000000000e+02,7.155636071777013527e-04
2.360000000000000000e+02,6.453839760654819357e-04
2.370000000000000000e+02,6.806416854759270553e-04
2.380000000000000000e+02,7.803706349511863125e-04
2.390000000000000000e+02,7.034752496655487155e-04
2.400000000000000000e+02,6.272514397972530882e-04
2.410000000000000000e+02,6.158346577024422040e-04
2.420000000000000000e+02,5.349098199127538724e-04
2.430000000000000000e+02,5.036815630063594873e-04
2.440000000000000000e+02,7.085120652956123505e-04
2.450000000000000000e+02,7.430981992887157172e-04
2.460000000000000000e+02,6.235577750018730676e-04
2.470000000000000000e+02,6.400113727267474784e-04
2.480000000000000000e+02,6.007242108122514074e-04
2.490000000000000000e+02,4.969322300620742684e-04
2.500000000000000000e+02,4.254430268860383301e-04
2.510000000000000000e+02,4.230925129253419780e-04
2.520000000000000000e+02,4.395461106502163888e-04
2.530000000000000000e+02,5.634517751497808121e-04
2.540000000000000000e+02,5.960231828908587031e-04
2.550000000000000000e+02,5.621086243150971978e-04
2.560000000000000000e+02,5.137216154956196100e-04
2.570000000000000000e+02,6.047536633163022503e-04
2.580000000000000000e+02,7.115341546736505098e-04
2.590000000000000000e+02,6.208714733325058389e-04
2.600000000000000000e+02,5.114382590766573897e-04
2.610000000000000000e+02,6.198641102064930469e-04
2.620000000000000000e+02,7.333603557372594863e-04
2.630000000000000000e+02,6.920584675707379396e-04
2.640000000000000000e+02,6.366534956400383884e-04
2.650000000000000000e+02,6.134841437417457976e-04
2.660000000000000000e+02,6.873574396493452353e-04
2.670000000000000000e+02,7.383971713673230129e-04
2.680000000000000000e+02,6.238935627105439983e-04
2.690000000000000000e+02,5.151655026429044493e-04
2.700000000000000000e+02,5.570718086850336712e-04
2.710000000000000000e+02,6.201998979151639776e-04
2.720000000000000000e+02,5.412897863775010133e-04
2.730000000000000000e+02,5.993810599775677931e-04
2.740000000000000000e+02,8.079052270622005686e-04
2.750000000000000000e+02,7.917874170459971968e-04
2.760000000000000000e+02,6.386682218920637557e-04
2.770000000000000000e+02,6.124767806157331140e-04
2.780000000000000000e+02,6.134841437417457976e-04
2.790000000000000000e+02,6.077757526943404097e-04
2.800000000000000000e+02,6.107978420723786774e-04
2.810000000000000000e+02,7.451129255407411929e-04
2.820000000000000000e+02,7.363824451152976456e-04
2.830000000000000000e+02,6.786269592239016881e-04
2.840000000000000000e+02,7.397403222020067356e-04
2.850000000000000000e+02,7.504855288794756501e-04
2.860000000000000000e+02,6.154988699937713817e-04
2.870000000000000000e+02,5.728538309925662207e-04
2.880000000000000000e+02,5.597581103544007914e-04
2.890000000000000000e+02,4.957569730817260652e-04
2.900000000000000000e+02,6.242293504192149289e-04
2.910000000000000000e+02,7.185856965557395120e-04
2.920000000000000000e+02,7.417550484540321029e-04
2.930000000000000000e+02,7.464560763754248072e-04
2.940000000000000000e+02,7.011247357048524175e-04
2.950000000000000000e+02,6.178493839544676796e-04
2.960000000000000000e+02,5.849421885047187495e-04
2.970000000000000000e+02,5.375961215821209926e-04
2.980000000000000000e+02,5.597581103544007914e-04
2.990000000000000000e+02,6.245651381278857512e-04
3.000000000000000000e+02,5.325593059520574660e-04
3.010000000000000000e+02,5.473339651335773319e-04
3.020000000000000000e+02,6.450481883568110050e-04
3.030000000000000000e+02,6.860142888146616210e-04
3.040000000000000000e+02,6.292661660492784555e-04
3.050000000000000000e+02,5.115725741601257620e-04
3.060000000000000000e+02,4.546229787695400381e-04
3.070000000000000000e+02,6.349745570966838434e-04
3.080000000000000000e+02,7.692896405650463589e-04
3.090000000000000000e+02,6.349745570966838434e-04
3.100000000000000000e+02,6.275872275059239105e-04
3.110000000000000000e+02,6.638523000423818222e-04
3.120000000000000000e+02,6.037463001902896751e-04
3.130000000000000000e+02,5.081139607608154470e-04
3.140000000000000000e+02,6.403471604354183007e-04
3.150000000000000000e+02,7.394045344933356965e-04
3.160000000000000000e+02,7.417550484540321029e-04
3.170000000000000000e+02,6.044178756076314281e-04
3.180000000000000000e+02,4.812677334525764634e-04
3.190000000000000000e+02,4.629169351737115381e-04
3.200000000000000000e+02,5.152326601846386354e-04
3.210000000000000000e+02,5.950158197648460195e-04
3.220000000000000000e+02,6.097904789463658853e-04
3.230000000000000000e+02,6.017315739382640910e-04
3.240000000000000000e+02,6.024031493556059524e-04
3.250000000000000000e+02,5.893074287174406315e-04
3.260000000000000000e+02,6.003884231035805851e-04
3.270000000000000000e+02,6.188567470804803633e-04
3.280000000000000000e+02,7.101910038389668955e-04
3.290000000000000000e+02,7.827211489118826105e-04
3.300000000000000000e+02,7.635812495176409710e-04
3.310000000000000000e+02,7.273161769811830593e-04
3.320000000000000000e+02,6.302735291752911391e-04
3.330000000000000000e+02,6.598228475383309793e-04
3.340000000000000000e+02,6.564649704516218893e-04
3.350000000000000000e+02,5.913221549694659988e-04
3.360000000000000000e+02,5.567360209763627405e-04
3.370000000000000000e+02,5.007266311700555141e-04
3.380000000000000000e+02,4.710765764944144490e-04
3.390000000000000000e+02,4.590889552948631451e-04
3.400000000000000000e+02,5.059313406544545602e-04
3.410000000000000000e+02,5.111360501388536063e-04
3.420000000000000000e+02,6.030747247729477054e-04
3.430000000000000000e+02,6.631807246250399608e-04
3.440000000000000000e+02,6.537786687822545522e-04
3.450000000000000000e+02,5.658022891104772184e-04
3.460000000000000000e+02,5.802411605833261536e-04
3.470000000000000000e+02,5.825916745440224516e-04
3.480000000000000000e+02,5.560644455590208791e-04
3.490000000000000000e+02,6.440408252307984298e-04
3.500000000000000000e+02,7.313456294852340106e-04
3.510000000000000000e+02,7.568654953442228994e-04
3.520000000000000000e+02,6.514281548215582543e-04
3.530000000000000000e+02,6.309451045926330005e-04
3.540000000000000000e+02,6.739259313025089838e-04
3.550000000000000000e+02,5.701675293231989921e-04
3.560000000000000000e+02,5.258435517786392861e-04
3.570000000000000000e+02,5.409539986688300826e-04
3.580000000000000000e+02,5.936726689301624052e-04
3.590000000000000000e+02,6.658670262944072979e-04
3.600000000000000000e+02,6.578081212863055036e-04
3.610000000000000000e+02,4.843838433890424833e-04
3.620000000000000000e+02,4.952197127478525761e-04
3.630000000000000000e+02,5.893074287174406315e-04
3.640000000000000000e+02,5.322235182433865354e-04
3.650000000000000000e+02,4.815565108820334637e-04
3.660000000000000000e+02,4.803879696558586792e-04
3.670000000000000000e+02,4.405534737762290725e-04
3.680000000000000000e+02,4.224209375080001708e-04
3.690000000000000000e+02,5.402824232514883297e-04
3.700000000000000000e+02,6.947447692401051682e-04
