wavelength_nm,relative_intensity
2.000000000000000000e+02,1.289144020854155197e-04
2.010000000000000000e+02,1.029629979911667113e-04
2.020000000000000000e+02,8.107976374495933912e-05
2.030000000000000000e+02,1.127141837338003014e-04
2.040000000000000000e+02,1.044225703793952965e-04
2.050000000000000000e+02,6.300590991625633938e-05
2.060000000000000000e+02,5.512835965071054430e-05
2.070000000000000000e+02,9.049969901650555589e-05
2.080000000000000000e+02,1.012860424812870485e-04
2.090000000000000000e+02,7.072818652347996127e-05
2.100000000000000000e+02,4.736467673460101091e-05
2.110000000000000000e+02,7.045904551572149252e-05
2.120000000000000000e+02,9.100692630035804793e-05
2.130000000000000000e+02,1.146395770969954467e-04
2.140000000000000000e+02,1.430753597243992971e-04
2.150000000000000000e+02,1.494933376017164935e-04
2.160000000000000000e+02,1.355601146616052801e-04
2.170000000000000000e+02,8.651434178623601046e-05
2.180000000000000000e+02,7.523112261482348508e-05
2.190000000000000000e+02,8.069675538776458835e-05
2.200000000000000000e+02,6.467251384891451588e-05
2.210000000000000000e+02,4.668043748026122573e-05
2.220000000000000000e+02,5.192972228927341213e-05
2.230000000000000000e+02,7.659753080805874735e-05
2.240000000000000000e+02,1.245253333435082644e-04
2.250000000000000000e+02,1.561390501779062539e-04
2.260000000000000000e+02,1.442036816415405225e-04
2.270000000000000000e+02,1.221755253142324364e-04
2.280000000000000000e+02,9.619306648831920964e-05
2.290000000000000000e+02,1.023833096667638691e-04
2.300000000000000000e+02,1.139770761548207815e-04
2.310000000000000000e+02,1.018139729195825132e-04
2.320000000000000000e+02,8.826375833666600995e-05
2.330000000000000000e+02,9.183505247807638623e-05
2.340000000000000000e+02,1.179106754989829223e-04
2.350000000000000000e+02,1.429821955294059471e-04
2.360000000000000000e+02,1.537374842625230484e-04
2.370000000000000000e+02,1.350942936866387199e-04
2.380000000000000000e+02,1.060581195803890546e-04
2.390000000000000000e+02,1.154470001202708394e-04
2.400000000000000000e+02,1.163786420702039870e-04
2.410000000000000000e+02,1.156540316647004443e-04
2.420000000000000000e+02,1.191528647655604569e-04
2.430000000000000000e+02,1.015448319118240309e-04
2.440000000000000000e+02,1.118757059788604632e-04
2.450000000000000000e+02,1.155608674697071215e-04
2.460000000000000000e+02,1.151157496491835068e-04
2.470000000000000000e+02,1.093706242912624349e-04
2.480000000000000000e+02,9.044794113039815128e-05
2.490000000000000000e+02,9.722822421046715285e-05
2.500000000000000000e+02,9.812881142873585490e-05
2.510000000000000000e+02,1.114823460444442531e-04
2.520000000000000000e+02,9.837724928205137808e-05
2.530000000000000000e+02,8.842938357220968303e-05
2.540000000000000000e+02,1.052713997115566346e-04
2.550000000000000000e+02,8.486844100802077955e-05
2.560000000000000000e+02,6.532466321386773541e-05
2.570000000000000000e+02,6.131860282915520374e-05
2.580000000000000000e+02,1.212231802098563433e-04
2.590000000000000000e+02,1.512531057293679793e-04
2.600000000000000000e+02,1.214095085998429755e-04
2.610000000000000000e+02,1.040395620222005863e-04
2.620000000000000000e+02,7.633874137752176493e-05
2.630000000000000000e+02,7.607995194698479607e-05
2.640000000000000000e+02,1.034909284294621760e-04
2.650000000000000000e+02,7.680456235248835225e-05
2.660000000000000000e+02,8.170085837824808607e-05
2.670000000000000000e+02,1.230554093780581793e-04
2.680000000000000000e+02,1.384482047063979914e-04
2.690000000000000000e+02,1.618013629180554351e-04
2.700000000000000000e+02,1.590374917999205057e-04
2.710000000000000000e+02,1.753308743465289792e-04
2.720000000000000000e+02,1.332931192501012887e-04
2.730000000000000000e+02,8.427840110639646452e-05
2.740000000000000000e+02,9.854287451759503760e-05
2.750000000000000000e+02,5.962094416483259532e-05
2.760000000000000000e+02,6.455864649947824741e-05
2.770000000000000000e+02,1.040395620222005863e-04
2.780000000000000000e+02,1.035219831611266215e-04
2.790000000000000000e+02,1.063479637425904825e-04
2.800000000000000000e+02,9.298407754966061145e-05
2.810000000000000000e+02,1.085942559996514877e-04
2.820000000000000000e+02,1.619980428852635401e-04
2.830000000000000000e+02,1.458806371514201718e-04
2.840000000000000000e+02,1.166788378096268741e-04
2.850000000000000000e+02,1.082837086830071277e-04
2.860000000000000000e+02,1.117514870522027083e-04
2.870000000000000000e+02,1.346181211344506191e-04
2.880000000000000000e+02,1.288108863132007105e-04
2.890000000000000000e+02,1.121655501410618910e-04
2.900000000000000000e+02,1.051471807848988662e-04
2.910000000000000000e+02,7.146314850620499024e-05
2.920000000000000000e+02,5.440374924520698135e-05
2.930000000000000000e+02,9.912256284199787984e-05
2.940000000000000000e+02,1.188112627172516379e-04
2.950000000000000000e+02,1.085321465363226103e-04
2.960000000000000000e+02,1.208712265843260380e-04
2.970000000000000000e+02,1.226516978664204829e-04
2.980000000000000000e+02,1.304671386686374142e-04
2.990000000000000000e+02,1.235833398163536305e-04
3.000000000000000000e+02,9.841865559093728279e-05
3.010000000000000000e+02,1.118032449383101130e-04
3.020000000000000000e+02,1.244528723029579142e-04
3.030000000000000000e+02,1.139563730003778088e-04
3.040000000000000000e+02,1.246599038473874784e-04
3.050000000000000000e+02,1.181694649295199047e-04
3.060000000000000000e+02,9.780791253486999508e-05
3.070000000000000000e+02,1.106645714439473605e-04
3.080000000000000000e+02,1.458495824197557670e-04
3.090000000000000000e+02,1.574537004850341251e-04
3.100000000000000000e+02,1.208815781615475108e-04
3.110000000000000000e+02,1.019795981551261863e-04
3.120000000000000000e+02,1.054784312559861988e-04
3.130000000000000000e+02,8.072781011942903383e-05
3.140000000000000000e+02,7.555202150868934490e-05
3.150000000000000000e+02,1.038635852094354269e-04
3.160000000000000000e+02,1.314401869274564800e-04
3.170000000000000000e+02,9.538564346504381692e-05
3.180000000000000000e+02,1.078799971713694178e-04
3.190000000000000000e+02,1.310571785702617292e-04
3.200000000000000000e+02,1.236040429707965761e-04
3.210000000000000000e+02,1.176829408001103718e-04
3.220000000000000000e+02,1.325167509584903550e-04
3.230000000000000000e+02,1.252292405945688478e-04
3.240000000000000000e+02,1.185214185550502100e-04
3.250000000000000000e+02,1.235729882391321441e-04
3.260000000000000000e+02,1.220409548103531952e-04
3.270000000000000000e+02,1.312124522285839430e-04
3.280000000000000000e+02,1.329929235106783745e-04
3.290000000000000000e+02,1.001577205641458230e-04
3.300000000000000000e+02,1.100434768106586000e-04
3.310000000000000000e+02,1.462636455086149226e-04
3.320000000000000000e+02,1.695443426797220432e-04
