wavelength_nm,relative_intensity
2.000000000000000000e+02,1.655268545541664898e-03
2.010000000000000000e+02,1.631508709959727122e-03
2.020000000000000000e+02,1.599828929183809943e-03
2.030000000000000000e+02,1.675068408526612972e-03
2.040000000000000000e+02,1.766147778257374373e-03
2.050000000000000000e+02,1.718628107093498822e-03
2.060000000000000000e+02,1.675068408526612972e-03
2.070000000000000000e+02,1.651308572944675196e-03
2.080000000000000000e+02,1.679028381123602674e-03
2.090000000000000000e+02,1.766147778257374373e-03
2.100000000000000000e+02,1.702788216705540449e-03
2.110000000000000000e+02,1.690908298914571561e-03
2.120000000000000000e+02,1.793867586436301851e-03
2.130000000000000000e+02,1.805747504227270738e-03
2.140000000000000000e+02,1.793867586436301851e-03
2.150000000000000000e+02,1.690908298914571561e-03
2.160000000000000000e+02,1.528549422437996833e-03
2.170000000000000000e+02,1.607748874377789346e-03
2.180000000000000000e+02,1.655268545541664898e-03
2.190000000000000000e+02,1.595868956586820459e-03
2.200000000000000000e+02,1.722588079690488523e-03
2.210000000000000000e+02,1.789907613839312149e-03
2.220000000000000000e+02,1.710708161899519636e-03
2.230000000000000000e+02,1.706748189302529934e-03
2.240000000000000000e+02,1.750307887869416001e-03
2.250000000000000000e+02,1.762187805660384889e-03
2.260000000000000000e+02,1.714668134496509337e-03
2.270000000000000000e+02,1.694868271511561046e-03
2.280000000000000000e+02,1.679028381123602674e-03
2.290000000000000000e+02,1.682988353720592158e-03
2.300000000000000000e+02,1.762187805660384889e-03
2.310000000000000000e+02,1.714668134496509337e-03
2.320000000000000000e+02,1.591908983989830757e-03
2.330000000000000000e+02,1.607748874377789346e-03
2.340000000000000000e+02,1.639428655153706308e-03
2.350000000000000000e+02,1.667148463332633786e-03
2.360000000000000000e+02,1.667148463332633786e-03
2.370000000000000000e+02,1.682988353720592158e-03
2.380000000000000000e+02,1.702788216705540449e-03
2.390000000000000000e+02,1.647348600347685495e-03
2.400000000000000000e+02,1.587949011392841055e-03
2.410000000000000000e+02,1.631508709959727122e-03
2.420000000000000000e+02,1.774067723451353776e-03
2.430000000000000000e+02,1.750307887869416001e-03
2.440000000000000000e+02,1.667148463332633786e-03
2.450000000000000000e+02,1.698828244108550748e-03
2.460000000000000000e+02,1.742387942675436598e-03
2.470000000000000000e+02,1.726548052287478225e-03
2.480000000000000000e+02,1.690908298914571561e-03
2.490000000000000000e+02,1.817627422018239626e-03
2.500000000000000000e+02,1.928506654733949319e-03
2.510000000000000000e+02,1.809707476824260440e-03
