wavelength_nm,relative_intensity
2.000000000000000000e+02,1.731841285456632313e-03
2.010000000000000000e+02,1.729791769142482397e-03
2.020000000000000000e+02,1.696999508116084614e-03
2.030000000000000000e+02,1.762584030168880180e-03
2.040000000000000000e+02,1.867109362190523059e-03
2.050000000000000000e+02,1.854812264305623782e-03
2.060000000000000000e+02,1.768732579111329710e-03
2.070000000000000000e+02,1.744138383341531373e-03
2.080000000000000000e+02,1.725692736514182566e-03
2.090000000000000000e+02,1.612969339235940242e-03
2.100000000000000000e+02,1.623216920806689603e-03
2.110000000000000000e+02,1.764633546483030096e-03
2.120000000000000000e+02,1.799475323823577578e-03
2.130000000000000000e+02,1.776930644367929156e-03
2.140000000000000000e+02,1.805623872766027324e-03
2.150000000000000000e+02,1.778980160682079072e-03
2.160000000000000000e+02,1.721593703885882952e-03
2.170000000000000000e+02,1.727742252828332482e-03
2.180000000000000000e+02,1.756435481226430650e-03
2.190000000000000000e+02,1.672405312346286277e-03
2.200000000000000000e+02,1.619117888178389988e-03
2.210000000000000000e+02,1.768732579111329710e-03
2.220000000000000000e+02,1.795376291195277963e-03
2.230000000000000000e+02,1.746187899655681289e-03
2.240000000000000000e+02,1.783079193310378686e-03
2.250000000000000000e+02,1.768732579111329710e-03
2.260000000000000000e+02,1.748237415969831204e-03
2.270000000000000000e+02,1.750286932283980903e-03
2.280000000000000000e+02,1.703148057058534144e-03
2.290000000000000000e+02,1.715445154943433421e-03
2.300000000000000000e+02,1.740039350713231759e-03
2.310000000000000000e+02,1.727742252828332482e-03
2.320000000000000000e+02,1.764633546483030096e-03
2.330000000000000000e+02,1.674454828660436193e-03
2.340000000000000000e+02,1.623216920806689603e-03
2.350000000000000000e+02,1.727742252828332482e-03
2.360000000000000000e+02,1.717494671257583120e-03
2.370000000000000000e+02,1.723643220200032867e-03
2.380000000000000000e+02,1.740039350713231759e-03
2.390000000000000000e+02,1.713395638629283506e-03
2.400000000000000000e+02,1.727742252828332482e-03
2.410000000000000000e+02,1.725692736514182566e-03
2.420000000000000000e+02,1.795376291195277963e-03
2.430000000000000000e+02,1.881455976389572035e-03
2.440000000000000000e+02,1.797425807509427879e-03
2.450000000000000000e+02,1.772831611739629542e-03
2.460000000000000000e+02,1.932693884243318625e-03
2.470000000000000000e+02,1.871208394818822673e-03
2.480000000000000000e+02,1.742088867027381457e-03
2.490000000000000000e+02,1.838416133792424891e-03
2.500000000000000000e+02,1.850713231677324168e-03
2.510000000000000000e+02,1.797425807509427879e-03
2.520000000000000000e+02,1.752336448598130819e-03
