wavelength_nm,relative_intensity
2.000000000000000000e+02,1.929347501935830557e-04
2.010000000000000000e+02,2.001957354159221870e-04
2.020000000000000000e+02,2.059007952334743847e-04
2.030000000000000000e+02,2.116058550510265825e-04
2.040000000000000000e+02,2.110872132494309109e-04
2.050000000000000000e+02,2.095312878446439504e-04
2.060000000000000000e+02,2.001957354159221870e-04
2.070000000000000000e+02,1.872296903760308580e-04
2.080000000000000000e+02,1.913788247887960952e-04
2.090000000000000000e+02,2.001957354159221870e-04
2.100000000000000000e+02,1.960466010031569769e-04
2.110000000000000000e+02,1.861924067728395690e-04
2.120000000000000000e+02,2.001957354159221870e-04
2.130000000000000000e+02,2.162736312653874642e-04
2.140000000000000000e+02,2.064194370350700292e-04
2.150000000000000000e+02,1.996770936143265425e-04
2.160000000000000000e+02,1.996770936143265425e-04
2.170000000000000000e+02,2.022703026223048191e-04
2.180000000000000000e+02,2.017516608207091475e-04
2.190000000000000000e+02,1.830805559632656479e-04
2.200000000000000000e+02,1.794500633520960552e-04
2.210000000000000000e+02,2.043448698286874242e-04
2.220000000000000000e+02,2.116058550510265825e-04
2.230000000000000000e+02,2.173109148685787532e-04
2.240000000000000000e+02,2.183481984717700693e-04
2.250000000000000000e+02,1.986398100111352264e-04
2.260000000000000000e+02,1.887856157808178185e-04
2.270000000000000000e+02,1.851551231696482529e-04
2.280000000000000000e+02,1.799687051536917267e-04
2.290000000000000000e+02,1.877483321776265296e-04
2.300000000000000000e+02,1.861924067728395690e-04
2.310000000000000000e+02,1.768568543441178056e-04
2.320000000000000000e+02,1.867110485744352135e-04
2.330000000000000000e+02,1.934533919951787002e-04
2.340000000000000000e+02,1.939720337967743718e-04
2.350000000000000000e+02,1.913788247887960952e-04
2.360000000000000000e+02,1.934533919951787002e-04
2.370000000000000000e+02,1.918974665903917397e-04
2.380000000000000000e+02,1.835991977648612924e-04
2.390000000000000000e+02,1.934533919951787002e-04
2.400000000000000000e+02,2.069380788366657008e-04
2.410000000000000000e+02,2.162736312653874642e-04
2.420000000000000000e+02,2.204227656781526743e-04
2.430000000000000000e+02,2.069380788366657008e-04
2.440000000000000000e+02,2.033075862254961081e-04
2.450000000000000000e+02,2.012330190191135031e-04
2.460000000000000000e+02,1.820432723600743318e-04
2.470000000000000000e+02,1.763382125425221340e-04
2.480000000000000000e+02,1.794500633520960552e-04
2.490000000000000000e+02,1.918974665903917397e-04
2.500000000000000000e+02,2.048635116302830687e-04
2.510000000000000000e+02,2.079753624398569898e-04
2.520000000000000000e+02,1.996770936143265425e-04
2.530000000000000000e+02,1.846364813680526084e-04
2.540000000000000000e+02,1.841178395664569368e-04
2.550000000000000000e+02,1.830805559632656479e-04
2.560000000000000000e+02,1.867110485744352135e-04
2.570000000000000000e+02,1.830805559632656479e-04
2.580000000000000000e+02,1.913788247887960952e-04
2.590000000000000000e+02,2.022703026223048191e-04
2.600000000000000000e+02,1.903415411856047791e-04
2.610000000000000000e+02,1.882669739792221741e-04
2.620000000000000000e+02,1.934533919951787002e-04
2.630000000000000000e+02,1.877483321776265296e-04
2.640000000000000000e+02,1.872296903760308580e-04
2.650000000000000000e+02,1.991584518127308980e-04
2.660000000000000000e+02,2.033075862254961081e-04
2.670000000000000000e+02,2.027889444239004636e-04
2.680000000000000000e+02,2.027889444239004636e-04
2.690000000000000000e+02,1.996770936143265425e-04
2.700000000000000000e+02,1.965652428047526214e-04
2.710000000000000000e+02,1.950093173999656608e-04
2.720000000000000000e+02,1.976025264079439374e-04
2.730000000000000000e+02,1.976025264079439374e-04
2.740000000000000000e+02,1.903415411856047791e-04
2.750000000000000000e+02,1.970838846063482658e-04
2.760000000000000000e+02,1.991584518127308980e-04
2.770000000000000000e+02,2.033075862254961081e-04
2.780000000000000000e+02,2.209414074797483459e-04
2.790000000000000000e+02,2.079753624398569898e-04
2.800000000000000000e+02,1.815246305584786873e-04
2.810000000000000000e+02,1.830805559632656479e-04
2.820000000000000000e+02,1.908601829872004507e-04
2.830000000000000000e+02,2.017516608207091475e-04
2.840000000000000000e+02,2.022703026223048191e-04
2.850000000000000000e+02,1.934533919951787002e-04
2.860000000000000000e+02,1.970838846063482658e-04
2.870000000000000000e+02,2.043448698286874242e-04
2.880000000000000000e+02,2.100499296462396220e-04
2.890000000000000000e+02,2.157549894637917926e-04
2.900000000000000000e+02,1.996770936143265425e-04
2.910000000000000000e+02,1.804873469552873712e-04
2.920000000000000000e+02,1.737450035345438845e-04
2.930000000000000000e+02,1.841178395664569368e-04
2.940000000000000000e+02,2.001957354159221870e-04
