wavelength_nm,relative_intensity
2.000000000000000000e+02,3.589313032238273095e-05
2.010000000000000000e+02,3.745370120596459206e-05
2.020000000000000000e+02,3.767663990361914364e-05
2.030000000000000000e+02,3.344080464818267027e-05
2.040000000000000000e+02,3.366374334583722186e-05
2.050000000000000000e+02,2.920496939274620028e-05
2.060000000000000000e+02,2.875909199743709711e-05
2.070000000000000000e+02,3.254904985756446392e-05
2.080000000000000000e+02,2.987378548570985166e-05
2.090000000000000000e+02,2.786733720681889076e-05
2.100000000000000000e+02,2.719852111385523939e-05
2.110000000000000000e+02,2.719852111385523939e-05
2.120000000000000000e+02,3.500137553176453138e-05
2.130000000000000000e+02,3.656194641534638571e-05
2.140000000000000000e+02,3.500137553176453138e-05
2.150000000000000000e+02,3.344080464818267027e-05
2.160000000000000000e+02,3.567019162472817936e-05
2.170000000000000000e+02,4.280422994967381659e-05
2.180000000000000000e+02,4.079778167078285908e-05
2.190000000000000000e+02,3.522431422941908296e-05
2.200000000000000000e+02,3.567019162472817936e-05
2.210000000000000000e+02,4.258129125201926500e-05
2.220000000000000000e+02,4.726300390276484155e-05
2.230000000000000000e+02,4.926945218165579906e-05
2.240000000000000000e+02,4.637124911214663520e-05
2.250000000000000000e+02,3.723076250831004047e-05
2.260000000000000000e+02,3.210317246225536075e-05
2.270000000000000000e+02,2.742145981150979098e-05
2.280000000000000000e+02,2.742145981150979098e-05
2.290000000000000000e+02,3.455549813645542820e-05
2.300000000000000000e+02,3.433255943880087662e-05
2.310000000000000000e+02,3.009672418336440324e-05
2.320000000000000000e+02,2.898203069509164870e-05
2.330000000000000000e+02,3.299492725287356710e-05
2.340000000000000000e+02,3.299492725287356710e-05
2.350000000000000000e+02,3.410962074114632503e-05
2.360000000000000000e+02,4.258129125201926500e-05
2.370000000000000000e+02,4.258129125201926500e-05
2.380000000000000000e+02,3.433255943880087662e-05
2.390000000000000000e+02,2.875909199743709711e-05
2.400000000000000000e+02,3.009672418336440324e-05
2.410000000000000000e+02,3.388668204349177344e-05
2.420000000000000000e+02,3.567019162472817936e-05
2.430000000000000000e+02,3.232611115990991234e-05
2.440000000000000000e+02,2.608382762558248146e-05
2.450000000000000000e+02,2.675264371854613622e-05
2.460000000000000000e+02,3.589313032238273095e-05
2.470000000000000000e+02,3.188023376460081594e-05
2.480000000000000000e+02,3.121141767163716118e-05
2.490000000000000000e+02,4.168953646140106543e-05
2.500000000000000000e+02,4.347304604263747135e-05
2.510000000000000000e+02,3.700782381065548888e-05
2.520000000000000000e+02,3.455549813645542820e-05
2.530000000000000000e+02,3.767663990361914364e-05
2.540000000000000000e+02,3.366374334583722186e-05
2.550000000000000000e+02,2.942790809040074848e-05
2.560000000000000000e+02,3.188023376460081594e-05
2.570000000000000000e+02,3.923721078720099798e-05
2.580000000000000000e+02,4.057484297312830750e-05
2.590000000000000000e+02,3.009672418336440324e-05
2.600000000000000000e+02,3.143435636929171276e-05
2.610000000000000000e+02,4.012896557781920432e-05
2.620000000000000000e+02,3.789957860127369523e-05
2.630000000000000000e+02,3.700782381065548888e-05
2.640000000000000000e+02,4.302716864732836818e-05
2.650000000000000000e+02,4.659418780980118679e-05
2.660000000000000000e+02,4.481067822856478087e-05
2.670000000000000000e+02,4.458773953091022929e-05
2.680000000000000000e+02,4.012896557781920432e-05
2.690000000000000000e+02,3.901427208954644639e-05
2.700000000000000000e+02,4.280422994967381659e-05
2.710000000000000000e+02,4.079778167078285908e-05
2.720000000000000000e+02,3.767663990361914364e-05
2.730000000000000000e+02,3.544725292707362778e-05
2.740000000000000000e+02,3.500137553176453138e-05
2.750000000000000000e+02,3.366374334583722186e-05
2.760000000000000000e+02,2.920496939274620028e-05
2.770000000000000000e+02,3.254904985756446392e-05
2.780000000000000000e+02,3.923721078720099798e-05
2.790000000000000000e+02,3.589313032238273095e-05
2.800000000000000000e+02,2.942790809040074848e-05
2.810000000000000000e+02,3.009672418336440324e-05
2.820000000000000000e+02,3.745370120596459206e-05
2.830000000000000000e+02,4.012896557781920432e-05
2.840000000000000000e+02,3.410962074114632503e-05
2.850000000000000000e+02,2.942790809040074848e-05
2.860000000000000000e+02,3.232611115990991234e-05
2.870000000000000000e+02,3.121141767163716118e-05
2.880000000000000000e+02,3.321786595052811868e-05
2.890000000000000000e+02,4.102072036843741067e-05
2.900000000000000000e+02,3.254904985756446392e-05
2.910000000000000000e+02,2.719852111385523939e-05
2.920000000000000000e+02,3.076554027632805800e-05
2.930000000000000000e+02,3.098847897398260959e-05
2.940000000000000000e+02,3.633900771769183412e-05
2.950000000000000000e+02,4.235835255436471342e-05
2.960000000000000000e+02,3.678488511300093730e-05
2.970000000000000000e+02,3.210317246225536075e-05
2.980000000000000000e+02,3.299492725287356710e-05
2.990000000000000000e+02,3.188023376460081594e-05
3.000000000000000000e+02,3.968308818251010115e-05
3.010000000000000000e+02,4.503361692621933246e-05
3.020000000000000000e+02,4.503361692621933246e-05
3.030000000000000000e+02,4.191247515905561702e-05
3.040000000000000000e+02,3.500137553176453138e-05
3.050000000000000000e+02,3.277198855521901551e-05
3.060000000000000000e+02,3.923721078720099798e-05
3.070000000000000000e+02,4.770888129807394473e-05
3.080000000000000000e+02,4.124365906609196226e-05
3.090000000000000000e+02,3.901427208954644639e-05
3.100000000000000000e+02,3.812251729892824682e-05
3.110000000000000000e+02,3.031966288101895483e-05
3.120000000000000000e+02,3.455549813645542820e-05
3.130000000000000000e+02,4.258129125201926500e-05
3.140000000000000000e+02,4.035190427547375591e-05
3.150000000000000000e+02,3.433255943880087662e-05
3.160000000000000000e+02,3.633900771769183412e-05
3.170000000000000000e+02,3.901427208954644639e-05
3.180000000000000000e+02,3.946014948485554956e-05
