wavelength_nm,relative_intensity
2.000000000000000000e+02,2.284526164494083929e-04
2.010000000000000000e+02,2.336502635832417003e-04
2.020000000000000000e+02,2.317237898131278807e-04
2.030000000000000000e+02,2.245543810990334802e-04
2.040000000000000000e+02,2.304034759634477280e-04
2.050000000000000000e+02,2.260488788338956999e-04
2.060000000000000000e+02,2.174163254842718658e-04
2.070000000000000000e+02,2.244951585780715568e-04
2.080000000000000000e+02,2.329082402323660503e-04
2.090000000000000000e+02,2.310270542723995312e-04
2.100000000000000000e+02,2.246937282071791392e-04
2.110000000000000000e+02,2.265609794563310355e-04
2.120000000000000000e+02,2.243418767591113291e-04
2.130000000000000000e+02,2.282401121094862690e-04
2.140000000000000000e+02,2.322846619234141658e-04
2.150000000000000000e+02,2.238750639468233754e-04
2.160000000000000000e+02,2.306961048905536147e-04
2.170000000000000000e+02,2.382312997635303669e-04
2.180000000000000000e+02,2.261150687102649211e-04
2.190000000000000000e+02,2.180538385040382376e-04
2.200000000000000000e+02,2.265052406130727881e-04
2.210000000000000000e+02,2.292956664536896993e-04
2.220000000000000000e+02,2.292503786435423445e-04
2.230000000000000000e+02,2.387259819974474849e-04
2.240000000000000000e+02,2.379003503816844232e-04
2.250000000000000000e+02,2.305497904270006307e-04
2.260000000000000000e+02,2.253800127147965418e-04
2.270000000000000000e+02,2.166812694888034594e-04
2.280000000000000000e+02,2.193671849983111466e-04
2.290000000000000000e+02,2.359216214460160051e-04
2.300000000000000000e+02,2.364894609117095610e-04
2.310000000000000000e+02,2.288706577738454243e-04
2.320000000000000000e+02,2.335213675082069610e-04
2.330000000000000000e+02,2.362769565717874371e-04
2.340000000000000000e+02,2.349357406558854179e-04
2.350000000000000000e+02,2.316645672921659573e-04
2.360000000000000000e+02,2.308911908419575211e-04
2.370000000000000000e+02,2.307448763784045913e-04
2.380000000000000000e+02,2.261359707764867334e-04
2.390000000000000000e+02,2.290309069482129227e-04
2.400000000000000000e+02,2.336223941616125360e-04
2.410000000000000000e+02,2.286895065332560594e-04
2.420000000000000000e+02,2.265714304894419552e-04
2.430000000000000000e+02,2.295952627362028568e-04
2.440000000000000000e+02,2.314172261752074254e-04
2.450000000000000000e+02,2.322219557247486206e-04
2.460000000000000000e+02,2.376669439755404328e-04
2.470000000000000000e+02,2.466548324509357259e-04
2.480000000000000000e+02,2.456062454621395935e-04
2.490000000000000000e+02,2.382382671189376647e-04
2.500000000000000000e+02,2.370189799226631142e-04
2.510000000000000000e+02,2.289368476502145913e-04
2.520000000000000000e+02,2.261673238758195466e-04
2.530000000000000000e+02,2.337443228812400046e-04
2.540000000000000000e+02,2.340752722630859482e-04
2.550000000000000000e+02,2.313614873319491509e-04
2.560000000000000000e+02,2.291075478576930365e-04
2.570000000000000000e+02,2.345525361084848488e-04
2.580000000000000000e+02,2.397954710524654567e-04
2.590000000000000000e+02,2.413944791184369004e-04
2.600000000000000000e+02,2.386040532778199892e-04
2.610000000000000000e+02,2.334725960203559573e-04
2.620000000000000000e+02,2.380884689776810860e-04
2.630000000000000000e+02,2.386667594764855615e-04
2.640000000000000000e+02,2.328350830005895312e-04
2.650000000000000000e+02,2.332113201925828567e-04
2.660000000000000000e+02,2.336328451947234828e-04
2.670000000000000000e+02,2.396665749774307174e-04
2.680000000000000000e+02,2.401124857234968317e-04
2.690000000000000000e+02,2.362839239271947078e-04
2.700000000000000000e+02,2.342181030489352562e-04
2.710000000000000000e+02,2.293305032307260802e-04
2.720000000000000000e+02,2.308354519986992738e-04
2.730000000000000000e+02,2.392729193969192285e-04
2.740000000000000000e+02,2.400184264254985004e-04
2.750000000000000000e+02,2.386737268318928594e-04
2.760000000000000000e+02,2.370782024436249834e-04
2.770000000000000000e+02,2.322149883693413498e-04
2.780000000000000000e+02,2.357509212385375599e-04
2.790000000000000000e+02,2.378132584390933897e-04
2.800000000000000000e+02,2.287905331866616344e-04
2.810000000000000000e+02,2.336851003602780812e-04
2.820000000000000000e+02,2.390638987347007264e-04
2.830000000000000000e+02,2.358554315696467839e-04
2.840000000000000000e+02,2.343051949915262897e-04
2.850000000000000000e+02,2.307588110892191599e-04
2.860000000000000000e+02,2.308319683209956248e-04
2.870000000000000000e+02,2.291389009570258227e-04
2.880000000000000000e+02,2.374823090572474461e-04
2.890000000000000000e+02,2.400706815910531259e-04
2.900000000000000000e+02,2.357962090486848876e-04
2.910000000000000000e+02,2.386075369555236653e-04
2.920000000000000000e+02,2.286929902109596812e-04
2.930000000000000000e+02,2.193079624773492233e-04
2.940000000000000000e+02,2.267247123084022099e-04
2.950000000000000000e+02,2.415303425488789647e-04
2.960000000000000000e+02,2.486927839075660403e-04
2.970000000000000000e+02,2.430631607384812684e-04
2.980000000000000000e+02,2.413004198204385961e-04
2.990000000000000000e+02,2.388095902623348695e-04
3.000000000000000000e+02,2.314381282414292647e-04
3.010000000000000000e+02,2.331625487047318530e-04
3.020000000000000000e+02,2.324344600646707716e-04
3.030000000000000000e+02,2.306090129479625812e-04
3.040000000000000000e+02,2.317203061354242046e-04
3.050000000000000000e+02,2.390673824124043482e-04
3.060000000000000000e+02,2.503928186269431945e-04
3.070000000000000000e+02,2.542701519110962950e-04
3.080000000000000000e+02,2.552072612133758785e-04
3.090000000000000000e+02,2.542248641009489402e-04
3.100000000000000000e+02,2.393809134057320743e-04
3.110000000000000000e+02,2.264634364806290823e-04
3.120000000000000000e+02,2.308702887757356817e-04
3.130000000000000000e+02,2.420842473037579520e-04
